dataset,field,value,n_features
Marin lifeform,LIFEFORM_18,Developed,5034
Marin lifeform,LIFEFORM_18,Native Shrub,4845
Marin lifeform,LIFEFORM_18,Herbaceous,4130
Marin lifeform,LIFEFORM_18,Native Forest,2947
Marin lifeform,LIFEFORM_18,Freshwater Wetland,1721
Marin lifeform,LIFEFORM_18,Shrub Fragment,1669
Marin lifeform,LIFEFORM_18,Water,1603
Marin lifeform,LIFEFORM_18,Forest Fragment,1366
Marin lifeform,LIFEFORM_18,Tidal Wetland,1221
Marin lifeform,LIFEFORM_18,Non-native Forest,1193
Marin lifeform,LIFEFORM_18,Channel,942
Marin lifeform,LIFEFORM_18,Mudflat,827
Marin lifeform,LIFEFORM_18,Non-native Shrub,321
Marin lifeform,LIFEFORM_18,Non-native Herbaceous,292
Marin lifeform,LIFEFORM_18,Barren,214
Marin lifeform,LIFEFORM_18,Orchard or Grove,63
Marin lifeform,LIFEFORM_18,Annual Cropland,57
Marin lifeform,LIFEFORM_18,Vineyard,56
Marin lifeform,LIFEFORM_18,Eel Grass,43
Marin lifeform,LIFEFORM_18,Intensively Managed Hayfield,25
Marin lifeform,LIFEFORM_18,Aquatic Vegetation,19
Marin lifeform,LIFEFORM_18,Irrigated Pasture,17
Marin lifeform,LIFEFORM_18,Nursery or Ornamental Horticulture Area,12
Marin lifeform,LIFEFORM_18,Major Road,5
Marin lifeform,LIFEFORM_18,Perennial Cropland,4
Marin lifeform,LIFEFORM_18,Aquaculture,3
San Mateo vegetation,MAP_CLASS_18,Sequoia sempervirens Alliance,21331
San Mateo vegetation,MAP_CLASS_18,Baccharis pilularis Alliance,13994
San Mateo vegetation,MAP_CLASS_18,Pseudotsuga menziesii – Notholithocarpus densiflorus / Vaccinium ovatum Association,9148
San Mateo vegetation,MAP_CLASS_18,Quercus agrifolia Alliance,9036
San Mateo vegetation,MAP_CLASS_18,Developed,5704
San Mateo vegetation,MAP_CLASS_18,Californian Annual & Perennial Grassland Mapping Unit,4270
San Mateo vegetation,MAP_CLASS_18,Salix lasiolepis Alliance,3332
San Mateo vegetation,MAP_CLASS_18,Mudflat/Dry Pond Bottom Mapping Unit,2481
San Mateo vegetation,MAP_CLASS_18,Umbellularia californica Mapping Unit,2315
San Mateo vegetation,MAP_CLASS_18,Sarcocornia pacifica (Salicornia depressa) Alliance,2108
San Mateo vegetation,MAP_CLASS_18,Forest Fragment,1891
San Mateo vegetation,MAP_CLASS_18,Pinus radiata Plantation Provisional Semi-Natural Association,1843
San Mateo vegetation,MAP_CLASS_18,Water,1647
San Mateo vegetation,MAP_CLASS_18,Toxicodendron diversilobum – (Baccharis pilularis) Association,1490
San Mateo vegetation,MAP_CLASS_18,Shrub Fragment,1207
San Mateo vegetation,MAP_CLASS_18,Acer macrophyllum – Alnus rubra Alliance,1139
San Mateo vegetation,MAP_CLASS_18,Notholithocarpus densiflorus Alliance,1124
San Mateo vegetation,MAP_CLASS_18,"Eucalyptus (globulus, camaldulensis) Provisional Semi-Natural Assocation",973
San Mateo vegetation,MAP_CLASS_18,Non-native Forest,972
San Mateo vegetation,MAP_CLASS_18,Mesic Coastal Scrub Mapping Unit,890
San Mateo vegetation,MAP_CLASS_18,Frangula californica ssp. californica – Baccharis pilularis / Scrophularia californica Association,836
