map_class_clean,lifeform_clean,forest_lifeform_clean,n_polygons,total_acres,mean_polygon_acres
Annual Cropland,Ag,Annual Cropland,186,2900.6854326353737,15.595082971157922
Nursery or Ornamental Horticulture Area,Ag,Nursery or Ornamental Horticulture Area,46,437.12936974634033,9.502812385790007
Vineyard,Ag,Vineyard,127,230.79223340771244,1.8172616803756885
Perennial Agriculture,Ag,Perennial Agriculture,37,217.28285213097476,5.872509517053372
Orchard or Grove,Ag,Orchard or Grove,69,101.56372090342569,1.4719379841076186
Intensively Managed Hayfield,Ag,Intensively Managed Hayfield,4,52.91703609858944,13.22925902464736
Irrigated Pasture,Ag,Irrigated Pasture,7,34.183863190641446,4.883409027234492
Barren and Sparsely Vegetated,Barren and Sparsely Vegetated,Barren and Sparsely Vegetated,176,3090.6540426955944,17.560534333497696
"Californian Cliff, Scree & Rock Vegetation Group",Barren and Sparsely Vegetated,Barren and Sparsely Vegetated,25,152.08825215107328,6.0835300860429316
Developed,Developed,Developed,5704,62013.427273317,10.871919227439868
"Zostera (marina, pacifica) Pacific Aquatic Alliance",Eel Grass,Eel Grass,3,7.946785022313136,2.6489283407710453
Sequoia sempervirens Alliance,Forest,Conifer,21331,47352.12403139068,2.2198736126478216
Quercus agrifolia Alliance,Forest,Evergreen Hardwood,9036,20784.196644307423,2.3001545644430528
Pseudotsuga menziesii – Notholithocarpus densiflorus / Vaccinium ovatum Association,Forest,Conifer,9148,19731.344894683058,2.1569025901490004
"Eucalyptus (globulus, camaldulensis) Provisional Semi-Natural Assocation",Forest,Non-native Forest,973,5178.020242082067,5.32170631252011
Umbellularia californica Mapping Unit,Forest,Evergreen Hardwood,2315,4895.855312911056,2.11484030795294
Pinus radiata Plantation Provisional Semi-Natural Association,Forest,Non-native Forest,1843,3744.526091588974,2.0317558825767628
Non-native Forest,Forest,Non-native Forest,972,2701.789084281776,2.7796183994668477
Notholithocarpus densiflorus Alliance,Forest,Evergreen Hardwood,1124,2288.859080322688,2.0363514949490105
Quercus chrysolepis (tree) Alliance,Forest,Evergreen Hardwood,829,1929.055456741393,2.3269667753213428
Hesperocyparis macrocarpa Ruderal Provisional Semi-Natural Association,Forest,Conifer,821,1792.6505046561037,2.183496351590869
Forest Fragment,Forest,Forest,1891,1321.2771594718604,0.6987187517037866
"Quercus (agrifolia, douglasii, garryana, kelloggii, lobata, wislizeni) Alliance",Forest,Deciduous Hardwood,354,954.0827613496318,2.695149043360542
Aesculus californica Alliance,Forest,Deciduous Hardwood,284,569.843001234333,2.006489440965961
Arbutus menziesii Alliance,Forest,Evergreen Hardwood,264,559.9163228442244,2.1208951622887287
Quercus lobata Mapping Unit,Forest,Deciduous Hardwood,198,506.07667068711885,2.555942781248075
Pinus attenuata Alliance,Forest,Conifer,210,458.86221972427234,2.1850581891632017
Pinus muricata – Pinus radiata Alliance,Forest,Conifer,192,428.4274746729018,2.2313930972546965
Quercus douglasii Alliance,Forest,Deciduous Hardwood,160,388.6080088264911,2.4288000551655693
Quercus kelloggii Alliance,Forest,Deciduous Hardwood,62,130.15999367146046,2.0993547366364593
Acacia spp. – Grevillea spp. – Leptospermum laevigatum Provisional Semi-Natural Alliance,Forest,Non-native Forest,14,32.35120928639779,2.310800663314128
Acer macrophyllum Mapping Unit,Forest,Deciduous Hardwood,13,24.722834006547064,1.901756462042082
Acacia melanoxylon Provisional Semi-Natural Association,Forest,Non-native Forest,8,18.491128825934762,2.3113911032418453
"Schinus (molle, terebinthifolius) – Myoporum laetum Semi-natural Alliance",Forest,Non-native Forest,5,11.988206480951035,2.397641296190207
Quercus wislizeni – Quercus parvula (tree) Alliance,Forest,Evergreen Hardwood,5,8.782509085250503,1.7565018170501003
"Hesperocyparis abramsiana / Arctostaphylos (crustacea, silvicola) Association",Forest,Conifer,1,4.732667338106321,4.732667338106321
Arid West Freshwater Emergent Marsh Group,Freshwater Herbaceous Wetland,Freshwater Herbaceous Wetland,213,403.76195260573,1.8955960216231456
Vancouverian Freshwater Wet Meadow & Marsh Group,Freshwater Herbaceous Wetland,Freshwater Herbaceous Wetland,182,253.74664639227942,1.394212342814722
Western North American Freshwater Aquatic Vegetation Macrogroup,Freshwater Herbaceous Wetland,Freshwater Herbaceous Wetland,1,5.9752694085590505,5.9752694085590505
Californian Annual & Perennial Grassland Mapping Unit,Herbaceous,Herbaceous,4270,30489.430598416224,7.140381873165392
Mesembryanthemum spp. – Carpobrotus spp. Semi-Natural Alliance,Herbaceous,Non-native Herbaceous,127,401.19452416315846,3.159012001284712
Non-native Herbaceous,Herbaceous,Herbaceous,119,340.6750999735007,2.8628159661638715
Eriophyllum staechadifolium – Erigeron glaucus – Eriogonum latifolium Alliance,Herbaceous,Herbaceous,104,217.62453533820027,2.092543609021156
"Cortaderia (jubata, selloana) Semi-Natural Alliance",Herbaceous,Non-native Herbaceous,55,163.4410359724058,2.9716551994982874
