forest_lifeform_clean,n_polygons,total_acres
Conifer,31703,69768.14179246512
Developed,5704,62013.427273317
Shrub,21400,60994.16441598176
Herbaceous,4512,31086.849672024604
Evergreen Hardwood,13573,30466.665326212034
Water,1647,15002.914067207696
Non-native Forest,3815,11687.1659625461
Riparian Forest,4750,7838.332438433372
Tidal Wetland,3595,3518.537123439758
Barren and Sparsely Vegetated,201,3242.7422948466674
Mudflat,2481,2916.0454155091397
Annual Cropland,186,2900.6854326353737
Deciduous Hardwood,1071,2573.493269775582
Major Road,9,2023.4880279949218
Forest,1891,1321.2771594718604
Non-native Herbaceous,269,763.6083428804337
Freshwater Herbaceous Wetland,396,663.4838684065685
Nursery or Ornamental Horticulture Area,46,437.12936974634033
Non-native Shrub,84,264.85083448989826
Vineyard,127,230.79223340771244
Perennial Agriculture,37,217.28285213097476
Orchard or Grove,69,101.56372090342569
Intensively Managed Hayfield,4,52.91703609858944
Irrigated Pasture,7,34.183863190641446
Eel Grass,3,7.946785022313136
