lifeform_clean,n_polygons,total_acres,mean_polygon_acres
Forest,52053,115816.7435104707,2.224977302181828
Developed,5704,62013.427273317,10.871919227439868
Shrub,21484,61259.01525047165,2.8513784793554113
Herbaceous,4781,31850.458014905038,6.661882036165037
Water,1647,15002.914067207696,9.109237442141891
Riparian Forest,4750,7838.332438433372,1.6501752501964992
Ag,476,3974.5545081130576,8.349904428808944
Tidal Wetland,3595,3518.537123439758,0.9787307714714208
Barren and Sparsely Vegetated,201,3242.7422948466674,16.133046243018246
Mudflat,2481,2916.0454155091397,1.1753508325308906
Major Road,9,2023.4880279949218,224.83200311054688
Freshwater Herbaceous Wetland,396,663.4838684065685,1.6754643141580012
Eel Grass,3,7.946785022313136,2.6489283407710453
