polygon_row_id,map_class_clean,lifeform_clean,acres_numeric,adjacent_freshwater_anchor,adjacent_tidal_anchor,near_model_site,near_model_site_ids,near_map_edge,split_class,movement_group,base_cost,is_barrier,classification_status,decision_reason
89956,Water,Water,33.93987575121855,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89957,Water,Water,0.5234478159232026,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89958,Water,Water,0.2872777474192918,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89959,Water,Water,238.76837908620902,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89960,Water,Water,0.7688684419311839,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89961,Water,Water,4.39291738069182,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89962,Water,Water,4.128604011390104,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89963,Water,Water,8.378790949779741,TRUE,TRUE,FALSE,,FALSE,Estuarine_transition_water,Tidal_saline_matrix,25,FALSE,ASSIGNED,Within 30 ft of both freshwater and tidal anchors
89964,Water,Water,656.9780986986207,FALSE,FALSE,FALSE,,TRUE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89965,Water,Water,0.21322352279429024,FALSE,TRUE,FALSE,,FALSE,Marine_open_water,Hard_marine_barrier,,TRUE,ASSIGNED,Within 30 ft of tidal wetland or eel grass
89966,Water,Water,1.5404959345585876,FALSE,TRUE,FALSE,,FALSE,Marine_open_water,Hard_marine_barrier,,TRUE,ASSIGNED,Within 30 ft of tidal wetland or eel grass
89967,Water,Water,0.1423421378261298,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89968,Water,Water,0.04927746682303104,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89969,Water,Water,5.219518747896412,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89970,Water,Water,3.2333398472343493,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89971,Water,Water,0.037751509412181125,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89972,Water,Water,2.193797661039021,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89973,Water,Water,1.0387079302986038,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89974,Water,Water,17.99738144154942,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89975,Water,Water,0.20590334660740037,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89976,Water,Water,0.03461900390482216,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89977,Water,Water,0.735400778394503,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89978,Water,Water,0.06694188099979928,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89979,Water,Water,1.190608246755436,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89980,Water,Water,0.03613392341113074,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89981,Water,Water,0.2521981701252413,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89982,Water,Water,0.43289155658164924,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89983,Water,Water,0.2759194032670575,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89984,Water,Water,1.362443206158675,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89985,Water,Water,0.2268255120014917,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
