LctGUID,LoctnID,ParkCod,Project,Dscrptn,AcCRLFB,Watrshd,Ltc_Lnt,WatrRgm,StpUTMX,StpUTMY,UtmZone,StartLt,StartLn,StopLat,StopLon,Datum,EstHErr,AccNots,Elevatn,EstVErr,Aspect,Slope,Dirctns,Commnts,Hbtt_ty,County
{8638CE6B-4285-42E2-BE39-0162264115B8},AC01,OTHER,CRLF,Monday-Tuesday Ponds,No,Audubon Canyon,lentic,seasonal,,,,,,,,,,,,,,,,Managed by Audubon Canyon Ranch,,Marin
{FF15B2D3-73C8-4BA4-977A-47E09547176B},AC02,OTHER,CRLF,Garden Club Canyon Pond,No,Garden Club Canyon,lentic,seasonal,,,,,,,,,,,,,,,,Managed by Audubon Canyon Ranch,,Marin
{9B1444D8-1769-42F7-86F4-929B3BCB35DF},DC01,OTHER,CRLF,Denniston Reservoir,No,Denniston Creek,lentic,perennial,,,10,,,,,NAD83,,,,,,,,,pond,San Mateo
{B3156E1B-EFD7-4DD9-B4AA-09C603D69EEA},EC01,GOGA,CRLF,Stinson Beach Park Spring,No,Easkoot Creek,lentic,perennial,,,10,,,,,NAD83,,,,,,,,"PEM, perennial spring",spring,Marin
{BE112F16-6ACE-438D-96AB-20165CE894C7},EC02,GOGA,CRLF,Stinson Beach Park Ditch,No,Easkoot Creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,deep ditch alongside HWY 1,ditch,Marin
{FFC4728C-7538-49C4-883D-BD56954F086C},EC03,GOGA,CRLF,Easkoot Creek,No,Easkoot Creek,lotic,seasonal,531689.1,4194503.7,10,,,,,NAD83,,,,,,,,Creek within park boundaries,stream,Marin
{439D7C94-C8C6-4790-860A-FEDAC14327ED},KC01,GOGA,CRLF,Charthouse mitigation pond,Yes,Kanoff Creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,Caltrans mitigation wetland east of Highway One created in 2005,pond,San Mateo
{60EC0CF2-B436-4CA6-8D97-7C420476D055},KC02,GOGA,CRLF,Charthouse wetland ditch,Yes,Kanoff Creek,both,seasonal,543173,4155759,10,,,,,NAD83,,,,,,,,,ditch,San Mateo
{D68B2339-0443-4F2A-94B1-8F6820B4C2B5},KC03,GOGA,CRLF,Charthouse upland swale,No,Kanoff Creek,lentic,seasonal,543221,4155738,10,,,,,NAD83,,,,,,,,,meadow,San Mateo
{7A4E9DD3-4C28-4CC3-BD99-4E19CF9EC76E},KC04,GOGA,CRLF,Rancho bridge pool,No,Kanoff Creek,lentic,seasonal,,,,,,,,,,,,,,,,Shallow pool 3m x 3m (lxw) downstream of footbridge,stream,San Mateo
{A1996454-FCD8-47D6-B97D-546757249087},LS01,OTHER,CRLF,Horse Stable Pond,No,Laguna Salada,lentic,perennial,,,10,,,,,NAD83,,,,,,,,,pond,San Mateo
{48FE9324-B88D-469D-AA6A-7E24CC21DB53},LS02,OTHER,CRLF,Laguna Salada Northwest shoreline,No,Laguna Salada,lentic,perennial,,,10,,,,,NAD83,,,,,,,,Sharp Park Golf Course,pond,San Mateo
{0306738C-5AD2-470A-9E97-FDCB3F728D09},LS03,OTHER,CRLF,Laguna Salada Southwest shoreline,No,Laguna Salada,lentic,perennial,,,10,,,,,NAD83,,,,,,,,Sharp Park Golf Course,pond,San Mateo
{0ED6197C-870D-4F18-9602-7299F4B25653},LS04,OTHER,CRLF,Horse Stable Pond Slough,No,Laguna Salada,lentic,perennial,544698,4164018,10,,,,,NAD83,,,,,,,,Sharp Park Golf Course,stream,San Mateo
{875594EE-A7A7-4825-8AAB-EFA4E31B577B},LS05,GOGA,CRLF,"Mori Point ""Willow Pond"" nr Sanchez Creek",No,Laguna Salada,lentic,perennial,,,10,,,,,NAD83,,,,,,,,aka Pond 'A' . Constructed Fall 2004,pond,San Mateo
{45BF7829-6FB9-4FA7-8264-4CD4626B1FBB},LS06,GOGA,CRLF,"Mori Point ""Middle Pond"" @ Mori's Pt Road",Yes,Laguna Salada,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,aka Pond 'D.'Constructed Fall 2004,pond,San Mateo
{9A52C3F3-BF30-4BF5-8431-7FD7DB238161},LS07,GOGA,CRLF,"Mori Point ""Southern Pond""",Yes,Laguna Salada,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,Pond created in fall 2007,pond,San Mateo
{789E8A07-30BD-4D75-B9CB-72C2666A15E0},LS08,GOGA,CRLF,"Mori Point ""Wetland Pond""",Yes,Laguna Salada,lentic,perennial,,,10,,,,,NAD83,,,,,,,,nr Sanchez Creek at boundary. Constructed in fall 2007 near Sanchez Creek willow riparian,pond,San Mateo
{11EACC11-6E31-480D-B3CE-1D073BC3F2E6},LS09,GOGA,CRLF,Sanchez Creek below Fairway Drive,No,Laguna Salada,lotic,perennial,,,10,,,,,NAD83,,,,,,,,Downstream of pedestrian crossing on Sanchez Creek from Fairway Drive,stream,San Mateo
{70F17C67-CD95-4047-9BB0-9047B3F9851B},MC01,GOGA,CRLF,Milagra Ridge Oxid. Pond,Yes,Milagra Creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,Artificial oxidation pond created in 1960's by U.S. Army. 0.17 acres,pond,San Mateo
{E70B5ABA-93F1-4437-B5FF-97F162161FC6},OL01,PORE,CRLF,Hagmaier South Pond,Yes,Olema Creek,lentic,perennial,,,10,,,,,NAD83,,GIS map,,,,,,Perennial stock pond,pond,Marin
{6EA322E8-9241-4B80-9564-610EED972C58},OL02,PORE,CRLF,Strain Hill Pond,No,Olema Creek,lentic,perennial,,,10,,,,,NAD83,,GIS map,,,,,,Perennial stock pond,pond,Marin
{70134D05-3AE0-45FC-B06D-2EF7A99A469D},OV01,GOGA,CRLF,Oakwood Pond,No,Oakwood Valley,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,Seasonal pond heavily used by off leash dogs,pond,Marin
{34D12FE2-DED1-42A0-8CAF-138FD1B1A6D1},RC01,GOGA,CRLF,Big Lagoon Environs @ GG weir,No,Redwood Creek,lentic,perennial,537544,4190559,,,,,,,,,,,,,,"USGS P143A, ditch from Green Gulch Reservoir labeled as Ditch 3 in PWA Big Lagoon report",marsh,Marin
{BBC3C535-1802-495B-8905-DD20CA28CD74},RC02,GOGA,CRLF,Big Lagoon Environs @ GG wetland,No,Redwood Creek,lentic,seasonal,537472,4190588,10,,,,,NAD83,,,,,,,,"USGS P143B, wetlands labeled as Pasture B in PWA Big Lagoon report",marsh,Marin
{C8DC7D4D-53A3-4D2B-B99D-4FAEEFA08878},RC03,GOGA,CRLF,Big Lagoon Environs @ GG xditch,No,Redwood Creek,lentic,seasonal,537463,4190676,10,,,,,NAD83,,,,,,,,"Adj to USGS P143C, ditch and adj flooded areas. Wetlands labeled as Pasture A/Ditch 1 in PWA Big Lagoon report.",ditch,Marin
{69A84549-BEB1-41D2-BFA6-A848F14E1EAA},RC04,GOGA,CRLF,Big Lagoon Environs @ former picnic area,No,Redwood creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,Seasonal wetlands adjacent to the Muir Beach parking lot,marsh,Marin
{38D1698D-7B23-4388-9002-8190D7D65562},RC05,GOGA,CRLF,Big Lagoon Environs @ RW creek backwater,No,Redwood Creek,lentic,perennial,537396,4190706,10,,,,,NAD83,,,,,,,,This backwater is part of USGS P161B,stream,Marin
