field_name,field_class
OID_COPY,integer
MAP_CLASS_18,character
ABBRV,character
LIFEFORM_18,character
FOREST_LIFEFORM_18,character
ABS_COVER_17,integer
REL_CON_COV_18,integer
REL_HDW_COV_18,integer
HDW_COVER_18,integer
CON_COVER_18,integer
SHB_COVER_18,integer
STAND_HT_MN_17,integer
STAND_HT_MD_17,integer
STAND_HT_MX_17,integer
STAND_HT_SD_17,integer
STANDING_DEAD_18,integer
SD_PRESENCE,character
LADDER_FUELS_17,numeric
SLOPE_MEAN,integer
SLOPE_STD,integer
SLOPE_MAX,integer
PERVIOUS_18,integer
IMPERVIOUS_18,integer
PAVED_RD_18,integer
DIRT_RD_18,integer
OTHER_IMPERV_18,integer
BUILDING_18,integer
ACRES,numeric
SOURCE,character
URBAN_WINDOW,character
COUNTY,character
Shape_Length,numeric
Shape_Area,numeric
