candidate_categories,n_map_classes,total_polygons,total_acres
water,1,1647,15002.914067207696
riparian,13,4750,7838.332438433372
tidal_marine; marsh_wetland,7,3595,3518.537123439758
pond_or_dry_bottom; mudflat,1,2481,2916.0454155091397
borderline_rhododendron,1,577,1326.0886091037205
freshwater_aquatic; marsh_wetland,3,396,663.4838684065685
borderline_rubus_morella,1,132,277.7245299739393
borderline_conium_foeniculum,1,67,136.15974444531983
borderline_rubus_armeniacus,1,13,26.262266653205565
tidal_marine,1,3,7.946785022313136
borderline_calamagrostis,1,1,2.6230526151134117
