"site_id","Longitude","Latitude"
"KC01",-122.512481411769,37.5468528825199
"KC02",-122.51131172905,37.5474158984912
"KC03",-122.510210127666,37.5479521446701
"KC04",-122.507040380813,37.5479479674301
"LS01",-122.49476940656,37.6215990513321
"LS02",-122.49323920837,37.6266670259289
"LS03",-122.493410766455,37.624765938662
"LS04",-122.494247732586,37.621659910269
"LS05",-122.492381658579,37.6211201073218
"LS06",-122.492410265508,37.6202459314577
"LS07",-122.49203872629,37.6198928103723
"LS08",-122.493078186266,37.620674234791
"LS09",-122.49158508676,37.6216124142925
"MC01",-122.471994396891,37.6389582338
"OV01",-122.514960744725,37.8619219984442
"RC01",-122.574047934237,37.8610329569036
"RC02",-122.574000542249,37.8613662683473
"RC03",-122.573982325846,37.8625559250447
"RC04",-122.575209604926,37.8606676183971
"RC05",-122.574047934237,37.8610329569036
"RC06",-122.564551188291,37.8656038854158
"RC07",-122.580885029484,37.8682318778364
"RC08",-122.564133187727,37.86322289532
"RC09",-122.567754569407,37.8621727056743
"RC10",-122.573444168444,37.8632209422835
"RC11",-122.573280345283,37.8620576653912
"RC12",-122.574143764928,37.862159934863
"RC13",-122.573557442707,37.8613195991577
"RC14",-122.574161874863,37.8609883037725
"RC15",-122.573820415866,37.8610591727871
"RC16",-122.574243383509,37.8626289736861
"RC17",-122.573697026406,37.8627441664786
"RC18",-122.574752033588,37.8611616846093
"RC19",-122.574431755921,37.8615030234216
"RC20",-122.575915871901,37.8604177987556
"RC21",-122.577099538867,37.8601787034922
"RC22",-122.580184840599,37.8674001833668
"RC23",-122.58465524458,37.8712528900463
"RC24",-122.574427783246,37.8641708715158
"RC25",-122.573729574198,37.8630146757717
"RC26",-122.57442685029,37.8643331029837
"RC27",-122.574678361022,37.8601339305596
"RC28",-122.573628299818,37.8608601901445
"RC29",-122.573794618559,37.8635647071575
"RL01",-122.518430060537,37.8354108236929
"RL02",-122.525110061171,37.8322202797358
"RL03",-122.523668328374,37.8319891306588
"RL04",-122.529021674104,37.831839411303
"RL06",-122.540708633588,37.8347156747091
"RL07",-122.54460235654,37.8363109683995
"TV01",-122.545697678729,37.8624862426575
"TV02",-122.549627545586,37.8444031239914
"TV03",-122.534765578334,37.8491132580779
"TV04",-122.548333289638,37.8460295324633
"TV05",-122.549636883116,37.8447366432637
"TV06",-122.55133739256,37.8417057290223
"TV07",-122.54505421726,37.8598970150082
"WG01",-122.695455054162,37.9345772961761
"AC01",-122.682331751218,37.9298648689251
"AC02",-122.683909284555,37.9308335050141
"EC01",-122.638747407259,37.8955438584381
"EC02",-122.641813386964,37.8989060691564
"OL01",-122.726647725671,37.9742838090748
"OL02",-122.717316179219,37.9670784586168
"SB01",-122.513520180139,37.780068152704
"SM01",-122.448721104951,37.5918920569358
"SP01",-122.455309297207,37.6018013454477
