"site_id","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"LS01",NA,NA,NA,NA,NA,NA,42,55,16,43,27,85,57,21,55,55,23,10,29,11,1,9,1,11,3,2,7,NA,6
"LS04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,1,7,1,5,6,6,1,0,0,0,0,0,0,3,NA,0
"LS05",NA,NA,NA,NA,NA,NA,NA,0,3,9,3,26,7,0,1,0,10,2,1,0,2,0,0,0,0,0,0,0,0
"LS06",NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,2,0,0,21,10,7,0,3,0,9,0,0,0,0,15,22,6,10
"LS07",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,5,3,42,76,58,5,21,8,7,3,0,8,0,38,30,11,37
"LS08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13,0,65,10,18,0,10,4,13,5,1,0,3,7,32,0,2
"LS09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LS11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,12,108,96,90,74,167,111,75,7,60,0,0,0,2,NA,5
"MC01",NA,NA,0,NA,27,85,59,40,39,31,35,71,12,0,51,19,35,39,91,67,20,95,26,123,51,1,0,0,0
"RC07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4,42,49,67,118,130,176,94,148,57,58,41,18,20
"RC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,2,0,0,2,4,0,2,1,1,0,9,0,0
"RC11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5,9,8,1,12,22,2,17,3,1,5
"RL02",NA,NA,0,NA,NA,NA,NA,NA,4,7,2,12,5,8,25,9,5,16,24,7,74,430,218,218,318,164,96,228,152
"TV02",0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,1,2,10,75,121,230,178,157,36,79,110
"TV03",0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"WG01",NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,17,77,110,128,51,115,74,83,104
