Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,1.71,1.02,0.70,0.61,0.86,0.87,0.68,-0.09,0.24,-0.56,-0.75,-1.26
1896,1.08,-0.97,-1.33,1.56,1.84,1.96,1.79,2.33,2.12,2.06,2.96,2.90
1897,2.20,2.68,3.19,2.23,1.39,0.82,-1.67,-1.65,-1.55,-0.57,-0.78,-1.26
1898,-1.98,-2.33,-2.88,-3.34,-2.11,-1.54,-1.26,-1.14,1.49,1.34,-0.67,-1.31
1899,-1.67,-2.43,1.80,1.21,1.39,1.59,1.49,1.33,1.26,2.96,3.93,3.72
1900,3.23,1.99,1.24,1.17,1.33,1.21,0.95,0.73,-1.01,0.42,1.47,0.90
1901,1.09,1.41,-0.87,0.41,0.74,0.82,0.76,0.66,1.47,1.22,1.13,-0.73
1902,-1.49,1.34,1.35,1.41,1.77,2.02,1.87,1.59,1.06,1.61,1.79,1.16
1903,1.12,-0.59,1.38,1.03,-0.46,-1.12,-1.30,-1.30,-1.51,-1.86,-0.62,-1.12
1904,-1.87,1.55,3.06,2.94,2.38,1.86,1.65,1.61,4.44,5.40,4.71,3.67
1905,3.41,3.02,3.08,2.56,3.71,3.83,4.20,3.83,3.14,2.15,1.55,0.73
1906,0.73,0.72,2.15,1.61,3.06,4.16,5.01,4.54,3.92,2.80,2.16,2.64
1907,2.78,2.37,5.15,3.98,3.00,3.15,2.79,2.43,2.06,2.10,0.79,-1.45
1908,-1.28,-1.22,-1.77,-2.22,-2.02,-2.11,-1.99,-1.89,-1.88,-1.83,-1.98,-2.32
1909,2.62,3.64,3.48,2.32,1.42,0.72,-1.89,-1.82,-1.21,-0.98,-0.84,1.24
1910,1.07,-0.57,0.13,-0.96,-1.52,-1.98,-2.06,-1.96,-1.94,-2.06,-2.60,-3.06
1911,-0.62,-0.69,2.41,2.19,1.95,1.73,1.56,1.33,0.88,-0.36,-1.39,-1.85
1912,-2.45,-3.12,-2.87,-2.34,-1.20,2.22,2.64,2.42,4.01,3.34,2.96,1.95
1913,1.39,-2.02,-2.40,-2.63,-2.46,-2.61,-2.35,-2.30,-2.48,-3.00,-1.62,2.34
1914,4.26,3.94,2.65,2.01,1.45,1.37,1.11,0.89,-1.33,-1.26,-1.99,-1.42
1915,1.11,2.55,1.75,1.23,4.28,4.42,4.73,4.20,3.42,2.34,1.43,1.64
1916,4.34,3.58,2.52,1.41,0.55,-2.64,-2.18,-0.71,1.51,1.32,0.78,0.75
1917,-0.65,0.51,-0.18,-0.50,-0.68,-0.89,-1.03,-1.06,-1.12,-1.80,-2.51,-3.03
1918,-3.52,-3.65,-3.19,-3.35,-3.51,-3.70,-3.66,-3.46,3.52,3.11,3.31,2.47
1919,1.68,3.29,2.90,1.89,1.00,-1.89,-2.01,-1.96,-1.42,-1.71,-2.52,-2.59
1920,-3.24,-3.77,-3.12,-2.50,-2.56,-1.99,-1.76,-1.35,-1.30,1.13,1.40,2.16
1921,2.79,1.71,0.93,-1.64,-1.40,-1.43,-1.48,-1.46,-1.41,-1.73,-2.04,-1.26
1922,-1.50,-0.64,-0.64,-0.83,-0.61,-0.58,-0.66,-0.73,-1.04,0.58,1.08,2.58
1923,2.04,0.93,-2.12,-0.85,-1.01,-0.55,1.12,0.98,1.51,0.87,-1.50,-2.07
1924,-2.60,-3.10,-3.38,-3.72,-4.12,-4.39,-4.27,-3.98,-3.90,-2.43,-2.18,-1.73
1925,-2.41,-0.83,-1.26,-0.66,3.28,3.68,4.13,3.76,3.84,2.84,2.19,1.22
1926,-1.97,-1.05,-2.02,-0.81,-0.90,-0.93,-0.93,-0.81,-1.03,0.51,2.25,1.38
1927,1.04,1.97,1.31,1.50,1.21,1.45,1.41,1.24,0.80,0.73,0.87,-0.29
1928,-0.91,-1.44,-0.82,-0.80,-0.94,-1.19,-1.27,-1.24,-1.43,-1.93,-1.49,-1.31
1929,-2.05,-2.49,-2.88,-2.57,-2.68,-1.32,-0.90,-0.87,-1.10,-1.76,-2.76,-2.82
1930,-2.45,-2.50,-2.45,-2.46,-2.41,-2.46,-2.37,-2.22,-1.90,-2.05,-2.19,-3.04
1931,-3.28,-3.82,-4.17,-4.48,-4.21,-3.67,-3.50,-3.29,-3.31,-3.01,-2.65,2.20
1932,1.64,1.30,-1.32,-1.70,-1.64,-1.91,-1.95,-1.89,-2.06,-2.59,-3.32,-3.40
1933,-2.62,-3.22,-3.05,-3.38,-2.52,-2.25,-1.97,-1.84,-1.79,-1.36,-2.34,-1.88
1934,-2.60,-2.20,-3.14,-3.78,-4.03,-3.62,-3.56,-3.36,-2.97,-2.89,-2.01,-2.08
1935,-1.32,-2.08,-1.24,2.14,1.65,1.33,0.95,1.09,0.83,0.78,-0.68,-1.45
1936,-1.40,1.76,0.79,0.61,-0.10,0.54,0.81,0.64,-0.38,-0.96,-1.91,-2.06
1937,-1.65,-0.70,2.32,1.89,1.31,1.53,1.30,1.03,0.57,-0.23,0.24,0.68
1938,-0.28,2.20,3.34,3.08,2.58,2.16,1.83,1.52,1.10,1.11,-0.51,-1.61
1939,-2.17,-2.69,-2.73,-3.05,-2.77,-2.85,-2.78,-2.64,-2.41,-2.51,-3.22,-3.74
1940,-2.41,-0.76,2.75,2.06,1.75,1.34,0.97,0.71,0.59,-0.01,-1.27,0.92
1941,1.69,2.36,2.29,4.11,4.41,4.46,4.06,3.51,2.79,2.44,1.84,2.63
1942,2.70,2.53,2.01,3.18,3.85,3.99,4.07,3.61,3.03,2.66,3.24,2.86
1943,3.40,2.44,2.16,2.02,1.40,1.13,0.91,0.71,-1.17,-1.31,-1.96,-2.36
1944,-2.80,-1.94,-2.46,-1.90,-1.41,-0.81,1.07,0.96,-0.32,-0.08,1.96,1.78
1945,0.65,0.76,1.06,-0.54,0.19,-0.59,-0.75,-0.80,-1.06,0.70,1.09,2.43
1946,1.35,0.72,-1.54,-1.96,-1.75,-1.84,-1.70,-1.64,-1.75,-2.14,-1.55,-1.93
1947,-2.66,-3.07,-2.75,-3.14,-3.28,-2.83,-2.73,-2.60,-2.69,-1.06,-1.23,-1.82
1948,-2.44,-2.91,-2.91,-1.61,-0.92,1.78,1.68,1.45,1.03,-0.46,-1.40,-1.31
1949,-1.80,-1.69,-0.85,-1.50,-1.59,-1.88,-1.91,-1.63,-1.81,-2.19,-2.40,-2.75
1950,-1.76,-1.97,-2.13,-1.92,-1.64,-1.38,-1.17,-1.11,-1.27,0.72,2.16,3.09
1951,2.82,2.01,1.43,1.07,1.13,0.95,0.86,0.98,0.58,0.60,0.88,2.77
1952,4.01,3.14,3.58,3.02,2.57,2.65,2.54,2.24,1.69,0.87,0.82,2.61
1953,2.26,1.04,-1.50,-0.91,0.28,1.19,1.39,1.70,1.19,0.71,0.63,-1.35
1954,-1.92,-2.10,-1.42,-1.25,-1.39,-1.12,-0.94,0.43,-0.31,-0.91,-0.88,-0.79
1955,0.18,-0.69,-1.54,-1.06,-1.08,-1.08,-0.98,-0.89,-0.98,-1.50,-1.44,3.76
1956,4.64,3.87,2.52,2.27,2.25,1.86,1.56,1.32,1.13,1.45,-1.32,-2.23
1957,-2.71,-2.72,-2.31,-2.04,2.63,3.03,3.25,2.97,3.47,4.01,3.12,2.42
1958,2.44,3.98,5.30,7.39,6.61,6.26,5.78,5.08,4.29,3.20,1.87,0.89
1959,-2.85,-2.14,-2.89,-3.46,-4.02,-4.44,-4.41,-4.04,3.40,2.78,1.40,-1.94
1960,-2.21,-1.85,-2.24,-2.19,-1.76,-1.67,-1.72,-1.67,-1.82,-2.09,-1.31,-1.77
1961,-2.23,-2.80,-2.52,-2.43,-1.90,-1.63,-1.64,-1.55,-1.40,-1.88,-1.43,-1.67
1962,-2.23,-0.58,1.34,0.69,-1.01,-1.40,-1.47,-1.20,-0.84,4.92,4.10,3.47
1963,2.59,2.68,2.84,4.44,4.10,3.79,3.42,2.99,2.76,2.80,3.12,2.04
