Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,1.76,0.96,0.66,-0.86,0.24,0.01,-0.54,-0.56,0.11,-0.60,-0.90,-1.48
1896,1.12,-0.97,-1.28,1.72,1.96,2.12,1.96,2.49,2.34,2.16,2.96,2.88
1897,2.15,2.56,3.15,2.18,1.35,0.81,-1.62,-1.61,-1.62,-0.75,-0.84,-1.42
1898,-2.03,-2.00,-2.66,-3.15,-1.65,-0.92,1.82,1.72,2.07,1.73,1.04,-1.26
1899,-1.51,-2.30,1.62,1.03,1.28,1.45,1.39,1.27,0.93,2.63,4.04,3.79
1900,3.29,2.10,1.51,1.47,1.53,1.56,1.38,1.15,0.80,1.22,1.59,0.97
1901,1.11,1.37,-0.86,0.43,0.67,0.86,0.86,0.80,1.24,0.90,0.94,-0.80
1902,-1.54,2.60,2.56,2.72,3.03,3.17,3.03,2.69,2.14,3.25,3.86,3.36
1903,3.13,2.23,3.47,2.71,1.91,1.16,0.74,-1.49,-1.62,-1.84,1.56,0.86
1904,-1.35,1.58,4.34,4.02,3.23,2.64,2.16,1.84,5.14,6.42,5.75,4.97
1905,4.59,3.92,3.91,3.27,4.22,4.25,4.55,4.27,3.65,2.59,1.90,1.02
1906,1.36,1.46,3.03,2.35,4.73,5.76,6.71,6.26,5.53,4.22,3.36,3.66
1907,3.63,3.10,6.21,5.11,4.18,4.33,4.00,3.59,3.10,2.92,1.53,1.21
1908,1.10,0.99,-1.56,-2.04,-1.78,-1.69,-1.48,-1.36,-1.37,-1.32,-1.44,-1.95
1909,2.97,3.96,3.71,2.54,1.65,0.97,0.63,-1.71,-0.67,1.01,0.81,1.53
1910,1.23,0.71,0.77,-0.57,-1.38,-1.76,-1.82,-1.72,-1.49,-1.64,-2.15,-2.64
1911,1.93,1.61,2.02,2.15,2.16,2.21,2.31,2.13,1.72,1.08,-1.31,-1.84
1912,-2.39,-3.09,-2.65,-2.17,-1.14,2.05,2.53,2.50,4.37,3.71,3.58,2.38
1913,2.29,1.10,-1.96,-2.14,-1.84,-1.83,-1.57,-1.55,-1.72,-2.34,-1.00,2.75
1914,4.55,4.25,2.95,2.42,1.98,1.66,1.42,1.23,1.02,1.06,-1.56,-1.24
1915,1.05,2.57,1.94,1.33,4.82,4.85,5.06,4.66,3.97,2.95,1.94,1.97
1916,4.44,3.79,2.78,1.74,1.02,-2.13,-2.00,-1.26,-0.56,-0.59,-0.94,-0.61
1917,-1.20,0.64,-0.74,-0.93,-1.10,-1.21,-1.25,-1.25,-1.32,-1.99,-2.59,-3.02
1918,-3.47,-3.31,-2.95,-3.14,-3.36,-3.55,-3.48,-3.27,3.35,2.82,3.16,2.43
1919,1.76,3.23,2.91,1.90,1.02,-1.79,-1.87,-1.79,-1.38,-1.66,-2.46,-2.39
1920,-3.09,-3.69,-3.04,-1.98,-2.11,-1.67,-1.46,-1.28,-1.27,1.07,1.92,2.79
1921,3.26,2.12,1.24,0.66,0.61,-1.50,-1.52,-1.47,-1.41,-1.71,-2.08,-1.59
1922,-1.66,-0.80,-0.59,-0.74,0.17,0.68,0.64,-0.08,-0.30,0.81,1.02,2.28
1923,1.67,-1.29,-2.25,-1.23,-1.39,-1.05,-0.75,-0.62,0.36,-0.52,-1.54,-2.08
1924,-2.68,-3.04,-3.46,-3.79,-4.14,-4.40,-4.28,-3.96,-3.83,-1.92,-1.65,-0.86
1925,-1.62,2.16,1.51,1.69,3.73,3.99,4.34,4.05,4.05,3.04,2.35,1.36
1926,0.83,1.42,-1.90,1.44,1.06,0.78,0.58,-0.01,-0.62,0.52,3.26,2.24
1927,1.95,2.83,2.10,2.45,2.04,2.14,2.06,1.88,1.45,1.41,1.65,1.35
