Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,1.35,0.75,-0.16,-0.98,0.43,0.61,0.72,0.68,0.83,-0.82,-1.24,-1.61
1896,-0.59,-1.20,-1.20,1.80,2.32,2.36,2.59,2.96,2.70,2.22,2.83,2.70
1897,2.00,2.25,2.95,1.89,1.05,-1.70,-1.96,-1.92,-1.85,-1.13,-1.13,-1.15
1898,-1.61,-1.25,-2.11,-2.63,-0.64,2.30,2.79,2.70,2.92,2.36,1.72,0.91
1899,0.94,-1.17,1.36,0.65,1.00,1.35,1.46,1.38,1.33,2.78,4.65,4.30
1900,3.79,3.13,2.64,2.70,2.43,2.31,1.95,1.63,1.22,1.97,1.85,1.47
1901,1.39,1.39,-0.95,0.50,0.36,0.32,0.20,-0.03,0.60,-0.43,0.12,-0.65
1902,-1.08,1.69,1.90,2.71,3.13,3.08,3.13,2.80,2.18,3.75,4.67,4.05
1903,3.80,3.06,4.28,3.13,2.07,1.00,-2.40,-2.33,-2.42,-2.35,1.68,1.11
1904,-1.01,1.03,4.11,3.70,2.71,1.92,1.31,1.04,4.46,6.16,5.54,4.80
1905,4.36,3.66,3.87,2.97,3.59,3.47,3.78,3.48,2.91,1.70,1.07,-1.89
1906,-1.06,-0.68,2.32,1.46,4.98,5.96,6.93,6.34,5.54,4.01,3.07,2.89
1907,2.92,2.31,5.30,4.44,3.71,4.23,4.37,4.03,3.52,2.96,1.72,1.60
1908,1.37,1.29,-1.56,-2.19,-1.71,-1.46,-1.14,-1.06,-1.13,-1.01,-1.22,-1.44
1909,2.00,2.58,2.38,1.19,-1.65,-2.22,-2.44,-2.34,-1.15,1.42,1.04,1.51
1910,1.22,0.88,0.83,-0.66,-1.46,-1.96,-2.12,-2.00,-1.76,-1.99,-2.39,-2.67
1911,-1.34,-1.34,-1.06,1.90,2.18,2.25,2.71,2.56,2.10,1.15,-1.45,-1.89
1912,-2.00,-2.40,-1.72,-1.38,1.25,2.14,2.86,2.85,4.80,4.15,4.16,3.20
1913,3.17,2.17,1.51,0.86,0.99,1.02,1.10,0.85,-1.01,-1.90,-0.65,2.36
1914,3.42,3.10,1.80,1.55,1.34,1.43,1.44,1.34,1.13,1.66,0.76,0.64
1915,1.36,2.54,2.18,1.24,6.44,6.04,5.96,5.38,4.55,3.36,2.34,2.21
1916,3.66,3.20,2.30,1.16,-1.95,-2.21,-2.17,-1.31,-0.63,-1.02,-1.37,-1.10
1917,-1.49,-0.94,-1.68,-1.35,-1.68,-1.70,-1.78,-1.77,-1.79,-2.61,-2.94,-3.22
1918,-3.64,-3.17,-3.02,-3.34,-3.66,-3.95,-4.01,-3.76,3.21,2.62,3.03,2.38
1919,1.93,2.85,2.75,1.66,0.79,-2.02,-2.22,-2.10,-1.65,-2.02,-2.62,-2.32
1920,-2.87,-3.15,-2.75,-0.91,-1.44,-1.19,-1.14,-0.99,-1.01,1.25,2.86,3.10
1921,3.41,2.55,1.61,0.84,-1.69,-1.76,-1.88,-1.83,-1.75,-2.03,-2.39,-2.21
1922,-2.12,-1.58,-1.10,-1.30,-0.95,-0.56,0.15,-0.08,-0.34,0.99,0.81,1.35
1923,0.83,-1.02,-1.96,-1.43,-1.75,-1.40,-1.08,-0.91,0.52,-0.70,-1.50,-1.89
1924,-2.12,-2.18,-2.84,-3.35,-3.78,-4.27,-4.33,-4.02,-3.94,-1.43,-0.76,2.57
1925,1.66,2.40,1.86,1.58,4.48,4.40,4.50,4.09,4.15,2.94,2.28,1.39
1926,1.28,1.66,-1.72,1.95,1.27,0.76,-1.09,-1.02,-1.21,0.66,3.48,2.67
1927,2.52,2.86,2.11,3.01,2.45,2.49,2.33,2.08,1.58,1.53,1.80,1.49
1928,1.02,0.60,1.56,1.52,0.81,-0.42,-1.16,-1.15,-1.34,-1.96,-1.71,-1.44
1929,-2.01,-2.10,-2.51,-2.10,-2.52,-1.26,-0.78,-0.71,-0.93,-1.83,-2.72,-2.17
1930,-2.06,-2.06,-1.97,-2.22,-2.35,-2.31,-2.26,-2.09,-1.79,-2.13,-2.30,-2.68
1931,-2.44,-2.80,-3.12,-3.65,-3.53,-3.24,-3.12,-2.97,-2.97,-1.99,-2.07,1.60
1932,1.04,0.56,-1.61,-1.68,1.37,1.49,1.82,1.70,1.22,-1.23,-1.91,-2.24
1933,-1.73,-2.15,-1.79,-2.48,-1.40,-1.12,1.27,1.11,0.74,2.10,1.07,1.27
1934,-1.07,-0.83,-1.77,-2.48,-2.40,-2.11,-2.08,-1.99,-1.87,-1.59,-0.90,-1.16
1935,-0.73,-1.11,0.50,2.78,1.90,1.26,0.67,0.71,-1.27,-1.37,-1.75,-2.03
1936,-1.55,-0.55,-1.46,-1.14,-1.08,0.79,1.14,0.88,-0.36,-1.32,-2.21,-2.53
1937,-2.23,-1.47,1.38,0.94,-0.45,1.48,1.84,1.63,1.15,0.83,1.45,1.95
1938,1.64,2.46,4.25,4.31,3.27,2.53,1.98,1.65,1.30,1.12,-1.50,-1.97
1939,-2.14,-2.38,-2.64,-3.25,-2.86,-2.98,-3.04,-2.90,-2.63,-3.10,-3.72,-3.94
1940,-2.42,-1.11,2.77,2.21,2.72,2.86,3.09,2.80,2.53,2.50,1.94,2.61
1941,2.96,3.46,3.53,5.50,5.53,5.69,5.96,5.39,4.58,3.96,3.33,3.66
1942,3.35,3.53,2.99,4.73,5.32,5.04,5.04,4.50,3.85,3.05,3.50,3.42
1943,3.71,2.88,3.08,2.77,1.90,1.51,1.21,0.98,-1.09,-1.16,-1.62,-2.07
1944,-2.01,-1.70,-2.36,-1.64,-1.15,1.28,1.70,1.70,1.24,1.60,2.34,1.91
1945,1.09,1.02,1.24,-1.01,0.55,0.55,0.43,-0.13,-0.33,0.74,1.20,2.29
1946,1.51,1.01,-1.19,-1.76,-1.85,-2.06,-2.09,-2.06,-2.15,-2.70,-2.62,-2.67
1947,-3.04,-3.14,-2.67,-3.09,-3.30,-2.50,-2.33,-2.20,-2.32,1.60,0.95,-0.47
