Model_ID,Site_ID,N_Years,N_Observed,N_Missing,Fraction_Observed
M0_Null,LS01,29,22,7,0.7586206896551724
M0_Null,LS04,29,17,12,0.5862068965517241
M0_Null,LS05,29,22,7,0.7586206896551724
M0_Null,LS06,29,21,8,0.7241379310344828
M0_Null,LS07,29,21,8,0.7241379310344828
M0_Null,LS08,29,18,11,0.6206896551724138
M0_Null,LS11,29,16,13,0.5517241379310345
M0_Null,MC01,29,26,3,0.896551724137931
M0_Null,RC07,29,18,11,0.6206896551724138
M0_Null,RC10,29,17,12,0.5862068965517241
M0_Null,RC11,29,15,14,0.5172413793103449
M0_Null,RL02,29,22,7,0.7586206896551724
M0_Null,TV02,29,18,11,0.6206896551724138
M0_Null,WG01,29,20,9,0.6896551724137931
