Model_ID,Model_Family,Hypothesis,Site_ID,Watershed,Parameter_Type,Covariate,Parameter,Estimate,Lower_95,Upper_95,CI_Excludes_Zero,Bootstrap_Status,N_Boot,Run_ID,Panel
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS01,LAGUNA_SALADA,U,NA,U.X.LS01,-0.08251318030173799,-0.539897150912701,0.34395736025376,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS04,LAGUNA_SALADA,U,NA,U.X.LS04,-0.04993692221217948,-0.3807054576086509,0.3062900198343115,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS05,LAGUNA_SALADA,U,NA,U.X.LS05,1.8061946572572736e-15,-0.44091386077777994,0.4189873705329455,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS06,LAGUNA_SALADA,U,NA,U.X.LS06,0.119894763639913,-0.4580741945515321,0.7244972400047628,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS07,LAGUNA_SALADA,U,NA,U.X.LS07,0.173218388558399,-0.47162676502030826,0.8248403302649178,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS08,LAGUNA_SALADA,U,NA,U.X.LS08,-0.03004856610388348,-0.8865463163465962,0.8015712545151852,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS11,LAGUNA_SALADA,U,NA,U.X.LS11,-0.0736919393232563,-0.7709051824011881,0.5929565011466202,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,MC01,MILAGRA_CREEK,U,NA,U.X.MC01,-1.8949184137335035e-15,-0.5409201708393769,0.5966165403510708,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,RC07,REDWOOD_CREEK,U,NA,U.X.RC07,0.1790895551601992,-0.14668577403789412,0.5146282033026306,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,RC10,REDWOOD_CREEK,U,NA,U.X.RC10,-1.8189894035458573e-15,-0.5320790270939334,0.5232982658911577,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,RC11,REDWOOD_CREEK,U,NA,U.X.RC11,0.12798281923057303,-0.4241833602184182,0.6995964414367736,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,RL02,RODEO_LAGOON,U,NA,U.X.RL02,0.19347838159202047,-0.12685877777494492,0.518580424718114,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,TV02,TENNESSEE_VALLEY,U,NA,U.X.TV02,0.16819750718972432,-0.08258416739602645,0.4275253531037008,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,WG01,WILKINS_GULCH,U,NA,U.X.WG01,0.17899847500605495,-0.10235170277100018,0.4728656934405669,FALSE,COMPLETE,500,20260810_114259_M0_Null,Population Growth / Drift (U)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS01,LAGUNA_SALADA,Q,NA,"Q.(X.LS01,X.LS01)",1.032348555938667,0.4228858732623377,1.512720038874785,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS04,LAGUNA_SALADA,Q,NA,"Q.(X.LS04,X.LS04)",0.6131790210173704,0.2241062382137633,1.0244859624867162,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS05,LAGUNA_SALADA,Q,NA,"Q.(X.LS05,X.LS05)",1.114033353485845,0.47597989536727786,1.6640916642547077,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS06,LAGUNA_SALADA,Q,NA,"Q.(X.LS06,X.LS06)",2.1102991958897137,0.900229124628392,3.242893362139244,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS07,LAGUNA_SALADA,Q,NA,"Q.(X.LS07,X.LS07)",2.1086943634206423,0.8671476966066509,3.204789070905491,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS08,LAGUNA_SALADA,Q,NA,"Q.(X.LS08,X.LS08)",3.6345157636955765,1.370266069322998,5.652863483371295,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,LS11,LAGUNA_SALADA,Q,NA,"Q.(X.LS11,X.LS11)",2.0691237402718032,0.7517132209813486,3.1177339381899114,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,MC01,MILAGRA_CREEK,Q,NA,"Q.(X.MC01,X.MC01)",2.087718317950094,0.9403282247850293,3.044560202799647,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,RC07,REDWOOD_CREEK,Q,NA,"Q.(X.RC07,X.RC07)",0.5244674457341915,0.20565239429733867,0.8269968465814338,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,RC10,REDWOOD_CREEK,Q,NA,"Q.(X.RC10,X.RC10)",1.0803286063507378,0.3328061370842986,1.9599341962289936,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,RC11,REDWOOD_CREEK,Q,NA,"Q.(X.RC11,X.RC11)",1.3768990446797176,0.4898469487070703,2.2880033191297646,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,RL02,RODEO_LAGOON,Q,NA,"Q.(X.RL02,X.RL02)",0.8485691014688724,0.37749145427592157,1.274593463982453,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,TV02,TENNESSEE_VALLEY,Q,NA,"Q.(X.TV02,X.TV02)",0.47543866149827285,0.18968623885469515,0.7556571268793943,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
M0_Null,Null,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,WG01,WILKINS_GULCH,Q,NA,"Q.(X.WG01,X.WG01)",0.577024383989763,0.25138528364653606,0.9002900661557685,TRUE,COMPLETE,500,20260810_114259_M0_Null,Process Variance (Q)
