Model_ID,Site_ID,N_Years,N_Observed,N_Missing,Fraction_Observed
M1_Interactive_Direct,LS01,29,22,7,0.7586206896551724
M1_Interactive_Direct,LS04,29,17,12,0.5862068965517241
M1_Interactive_Direct,LS05,29,22,7,0.7586206896551724
M1_Interactive_Direct,LS06,29,21,8,0.7241379310344828
M1_Interactive_Direct,LS07,29,21,8,0.7241379310344828
M1_Interactive_Direct,LS08,29,18,11,0.6206896551724138
M1_Interactive_Direct,LS11,29,16,13,0.5517241379310345
M1_Interactive_Direct,MC01,29,26,3,0.896551724137931
M1_Interactive_Direct,RC07,29,18,11,0.6206896551724138
M1_Interactive_Direct,RC10,29,17,12,0.5862068965517241
M1_Interactive_Direct,RC11,29,15,14,0.5172413793103449
M1_Interactive_Direct,RL02,29,22,7,0.7586206896551724
M1_Interactive_Direct,TV02,29,18,11,0.6206896551724138
M1_Interactive_Direct,WG01,29,20,9,0.6896551724137931
