Model_ID,Component,Class,Dimensions
P1_Early_Current,model.residuals,matrix|array,14 x 29
P1_Early_Current,state.residuals,matrix|array,14 x 29
P1_Early_Current,residuals,matrix|array,28 x 29
P1_Early_Current,var.residuals,array,28 x 28 x 29
P1_Early_Current,std.residuals,matrix|array,28 x 29
P1_Early_Current,mar.residuals,matrix|array,28 x 29
P1_Early_Current,bchol.residuals,matrix|array,28 x 29
P1_Early_Current,E.obs.residuals,matrix|array,14 x 29
P1_Early_Current,var.obs.residuals,array,14 x 14 x 29
P1_Early_Current,msg,NULL,0
