Model,Model_ID,Std_Residual_Type,Site,Year,Observed_LogEggs,Predicted_tt1,Residual,Std_Residual
P0_Null,M0_Null,marginal_standardized,LS01,1997,NA,NA,NA,NA
P0_Null,M0_Null,marginal_standardized,LS01,1998,NA,NA,NA,NA
P0_Null,M0_Null,marginal_standardized,LS01,1999,NA,NA,NA,NA
P0_Null,M0_Null,marginal_standardized,LS01,2000,NA,NA,NA,NA
P0_Null,M0_Null,marginal_standardized,LS01,2001,NA,NA,NA,NA
P0_Null,M0_Null,marginal_standardized,LS01,2002,NA,NA,NA,NA
P0_Null,M0_Null,marginal_standardized,LS01,2003,3.7612001156935624,3.761200115693549,1.3322676295501878e-14,4.955976958133212e-15
P0_Null,M0_Null,marginal_standardized,LS01,2004,4.02535169073515,3.6786869353918243,0.3466647553433253,0.34119017200619234
P0_Null,M0_Null,marginal_standardized,LS01,2005,2.833213344056216,3.9428385104334116,-1.1096251663771954,-1.0921017944373632
P0_Null,M0_Null,marginal_standardized,LS01,2006,3.784189633918261,2.750700163754478,1.033489470163783,1.017168444892963
P0_Null,M0_Null,marginal_standardized,LS01,2007,3.332204510175204,3.701676453616523,-0.3694719434413192,-0.36363718546859486
P0_Null,M0_Null,marginal_standardized,LS01,2008,4.454347296253507,3.2496913298734658,1.2046559663800416,1.1856318533749841
P0_Null,M0_Null,marginal_standardized,LS01,2009,4.060443010546419,4.37183411595177,-0.31139110540535064,-0.3064735689938535
P0_Null,M0_Null,marginal_standardized,LS01,2010,3.091042453358316,3.977929830244681,-0.886887376886365,-0.8728815145061323
P0_Null,M0_Null,marginal_standardized,LS01,2011,4.02535169073515,3.008529273056578,1.0168224176785716,1.000764601073785
P0_Null,M0_Null,marginal_standardized,LS01,2012,4.02535169073515,3.9428385104334116,0.08251318030173804,0.08121011941939836
P0_Null,M0_Null,marginal_standardized,LS01,2013,3.1780538303479458,3.9428385104334116,-0.7647846800854659,-0.7527070823442593
P0_Null,M0_Null,marginal_standardized,LS01,2014,2.3978952727983707,3.0955406500462077,-0.697645377247837,-0.6866280537425203
P0_Null,M0_Null,marginal_standardized,LS01,2015,3.4011973816621555,2.3153820924966326,1.0858152891655228,1.068667926482568
P0_Null,M0_Null,marginal_standardized,LS01,2016,2.4849066497880004,3.3186842013604174,-0.8337775515724171,-0.8206104077530424
