Model_ID,Site_ID,N_Years,N_Observed,N_Missing,Fraction_Observed
P2_Late_Current,LS01,29,22,7,0.7586206896551724
P2_Late_Current,LS04,29,17,12,0.5862068965517241
P2_Late_Current,LS05,29,22,7,0.7586206896551724
P2_Late_Current,LS06,29,21,8,0.7241379310344828
P2_Late_Current,LS07,29,21,8,0.7241379310344828
P2_Late_Current,LS08,29,18,11,0.6206896551724138
P2_Late_Current,LS11,29,16,13,0.5517241379310345
P2_Late_Current,MC01,29,26,3,0.896551724137931
P2_Late_Current,RC07,29,18,11,0.6206896551724138
P2_Late_Current,RC10,29,17,12,0.5862068965517241
P2_Late_Current,RC11,29,15,14,0.5172413793103449
P2_Late_Current,RL02,29,22,7,0.7586206896551724
P2_Late_Current,TV02,29,18,11,0.6206896551724138
P2_Late_Current,WG01,29,20,9,0.6896551724137931
