Model_ID,Component,Class,Dimensions
P3_Early_Current_Lag3,model.residuals,matrix|array,14 x 29
P3_Early_Current_Lag3,state.residuals,matrix|array,14 x 29
P3_Early_Current_Lag3,residuals,matrix|array,28 x 29
P3_Early_Current_Lag3,var.residuals,array,28 x 28 x 29
P3_Early_Current_Lag3,std.residuals,matrix|array,28 x 29
P3_Early_Current_Lag3,mar.residuals,matrix|array,28 x 29
P3_Early_Current_Lag3,bchol.residuals,matrix|array,28 x 29
P3_Early_Current_Lag3,E.obs.residuals,matrix|array,14 x 29
P3_Early_Current_Lag3,var.obs.residuals,array,14 x 14 x 29
P3_Early_Current_Lag3,msg,NULL,0
