Model_ID,Site_ID,N_Years,N_Observed,N_Missing,Fraction_Observed
P7_Late_RunMean3,LS01,29,22,7,0.7586206896551724
P7_Late_RunMean3,LS04,29,17,12,0.5862068965517241
P7_Late_RunMean3,LS05,29,22,7,0.7586206896551724
P7_Late_RunMean3,LS06,29,21,8,0.7241379310344828
P7_Late_RunMean3,LS07,29,21,8,0.7241379310344828
P7_Late_RunMean3,LS08,29,18,11,0.6206896551724138
P7_Late_RunMean3,LS11,29,16,13,0.5517241379310345
P7_Late_RunMean3,MC01,29,26,3,0.896551724137931
P7_Late_RunMean3,RC07,29,18,11,0.6206896551724138
P7_Late_RunMean3,RC10,29,17,12,0.5862068965517241
P7_Late_RunMean3,RC11,29,15,14,0.5172413793103449
P7_Late_RunMean3,RL02,29,22,7,0.7586206896551724
P7_Late_RunMean3,TV02,29,18,11,0.6206896551724138
P7_Late_RunMean3,WG01,29,20,9,0.6896551724137931
