"site_id","watershed","is_core_watershed","hydroperiod"
"LS01","LAGUNA SALADA",1,"perennial"
"LS04","LAGUNA SALADA",1,"perennial"
"LS05","LAGUNA SALADA",1,"perennial"
"LS06","LAGUNA SALADA",1,"seasonal"
"LS07","LAGUNA SALADA",1,"seasonal"
"LS08","LAGUNA SALADA",1,"perennial"
"LS09","LAGUNA SALADA",1,"perennial"
"LS11","LAGUNA SALADA",1,"perennial"
"MC01","MILAGRA CREEK",1,"seasonal"
"RC07","REDWOOD CREEK",1,"perennial"
"RC10","REDWOOD CREEK",1,"seasonal"
"RC11","REDWOOD CREEK",1,"seasonal"
"RL02","RODEO LAGOON",1,"perennial"
"TV02","TENNESSEE VALLEY",1,"perennial"
"TV03","TENNESSEE VALLEY",1,"perennial"
"WG01","WILKINS GULCH",1,"seasonal"
