"Site_ID","Annual_Trend_U","Process_Var_Q","Status"
"LS01",-0.0825,1.0323,"Declining 📉"
"LS04",-0.0499,0.6132,"Declining 📉"
"LS05",0,1.114,"Stable ⚖️"
"LS06",0.1199,2.1103,"Growing 📈"
"LS07",0.1732,2.1087,"Growing 📈"
"LS08",-0.03,3.6345,"Declining 📉"
"LS11",-0.0737,2.0691,"Declining 📉"
"MC01",0,2.0877,"Stable ⚖️"
"RC07",0.1791,0.5245,"Growing 📈"
"RC10",0,1.0803,"Stable ⚖️"
"RC11",0.128,1.3769,"Growing 📈"
"RL02",0.1935,0.8486,"Growing 📈"
"TV02",0.1682,0.4754,"Growing 📈"
"WG01",0.179,0.577,"Growing 📈"
