"WaterYear","OctDec","OctJan","JanMar","FebMar","OctDec_lag3","OctJan_lag3","JanMar_lag3","FebMar_lag3","Int_P1_Current","Int_P1_Lag3","Int_P2_Current","Int_P2_Lag3","Int_P3_Current","Int_P3_Lag3","Int_P4_Current","Int_P4_Lag3","Watershed"
1896,-0.856666666666667,-0.3725,-0.406666666666667,-1.15,NA,NA,NA,NA,0.348377777777778,NA,0.985166666666667,NA,0.428375,NA,0.151483333333333,NA,"KANOFF_CREEK"
1897,2.64,2.53,2.69,2.935,NA,NA,NA,NA,7.1016,NA,7.7484,NA,7.42555,NA,6.8057,NA,"KANOFF_CREEK"
1898,-0.87,-1.1475,-2.39666666666667,-2.605,NA,NA,NA,NA,2.0851,NA,2.26635,NA,2.9892375,NA,2.750175,NA,"KANOFF_CREEK"
1899,-0.213333333333333,-0.5775,-0.766666666666667,-0.315,-0.856666666666667,-0.3725,-0.406666666666667,-1.15,0.163555555555556,0.348377777777778,0.0672,0.985166666666667,0.1819125,0.428375,0.44275,0.151483333333333,"KANOFF_CREEK"
1900,3.53666666666667,3.46,2.15333333333333,1.615,2.64,2.53,2.69,2.935,7.61562222222222,7.1016,5.71171666666667,7.7484,5.5879,7.42555,7.45053333333333,6.8057,"KANOFF_CREEK"
1901,0.93,0.97,0.543333333333333,0.27,-0.87,-1.1475,-2.39666666666667,-2.605,0.5053,2.0851,0.2511,2.26635,0.2619,2.9892375,0.527033333333333,2.750175,"KANOFF_CREEK"
1902,0.54,0.0325,0.4,1.345,-0.213333333333333,-0.5775,-0.766666666666667,-0.315,0.216,0.163555555555556,0.7263,0.0672,0.0437125,0.1819125,0.013,0.44275,"KANOFF_CREEK"
1903,1.52,1.42,0.636666666666667,0.395,3.53666666666667,3.46,2.15333333333333,1.615,0.967733333333333,7.61562222222222,0.6004,5.71171666666667,0.5609,5.5879,0.904066666666667,7.45053333333333,"KANOFF_CREEK"
1904,-1.2,-1.3675,0.913333333333333,2.305,0.93,0.97,0.543333333333333,0.27,-1.096,0.5053,-2.766,0.2511,-3.1520875,0.2619,-1.24898333333333,0.527033333333333,"KANOFF_CREEK"
1905,4.59333333333333,4.2975,3.17,3.05,0.54,0.0325,0.4,1.345,14.5608666666667,0.216,14.0096666666667,0.7263,13.107375,0.0437125,13.623075,0.013,"KANOFF_CREEK"
1906,1.47666666666667,1.29,1.2,1.435,1.52,1.42,0.636666666666667,0.395,1.772,0.967733333333333,2.11901666666667,0.6004,1.85115,0.5609,1.548,0.904066666666667,"KANOFF_CREEK"
1907,2.53333333333333,2.595,3.43333333333333,3.76,-1.2,-1.3675,0.913333333333333,2.305,8.69777777777778,-1.096,9.52533333333333,-2.766,9.7572,-3.1520875,8.9095,-1.24898333333333,"KANOFF_CREEK"
1908,0.48,0.04,-1.42333333333333,-1.495,4.59333333333333,4.2975,3.17,3.05,-0.6832,14.5608666666667,-0.7176,14.0096666666667,-0.0598000000000001,13.107375,-0.0569333333333334,13.623075,"KANOFF_CREEK"
1909,-2.04333333333333,-0.8775,3.24666666666667,3.56,1.47666666666667,1.29,1.2,1.435,-6.63402222222222,1.772,-7.27426666666667,2.11901666666667,-3.1239,1.85115,-2.84895,1.548,"KANOFF_CREEK"
1910,-0.193333333333333,0.1225,0.21,-0.22,2.53333333333333,2.595,3.43333333333333,3.76,-0.0406,8.69777777777778,0.0425333333333333,9.52533333333333,-0.02695,9.7572,0.025725,8.9095,"KANOFF_CREEK"
1911,-2.57333333333333,-2.085,0.366666666666667,0.86,0.48,0.04,-1.42333333333333,-1.495,-0.943555555555556,-0.6832,-2.21306666666667,-0.7176,-1.7931,-0.0598000000000001,-0.7645,-0.0569333333333334,"KANOFF_CREEK"
1912,-1.2,-1.5125,-2.81333333333333,-2.995,-2.04333333333333,-0.8775,3.24666666666667,3.56,3.376,-6.63402222222222,3.594,-7.27426666666667,4.5299375,-3.1239,4.25516666666667,-2.84895,"KANOFF_CREEK"
1913,2.75,2.41,-1.01,-2.21,-0.193333333333333,0.1225,0.21,-0.22,-2.7775,-0.0406,-6.0775,0.0425333333333333,-5.3261,-0.02695,-2.4341,0.025725,"KANOFF_CREEK"
1914,-0.76,0.495,3.61666666666667,3.295,-2.57333333333333,-2.085,0.366666666666667,0.86,-2.74866666666667,-0.943555555555556,-2.5042,-2.21306666666667,1.631025,-1.7931,1.79025,-0.7645,"KANOFF_CREEK"
1915,-1.55666666666667,-0.89,1.80333333333333,2.15,-1.2,-1.5125,-2.81333333333333,-2.995,-2.80718888888889,3.376,-3.34683333333333,3.594,-1.9135,4.5299375,-1.60496666666667,4.25516666666667,"KANOFF_CREEK"
1916,1.80333333333333,2.4375,3.48,3.05,2.75,2.41,-1.01,-2.21,6.2756,-2.7775,5.50016666666667,-6.0775,7.434375,-5.3261,8.4825,-2.4341,"KANOFF_CREEK"
1917,0.95,0.55,-0.106666666666667,0.165,-0.76,0.495,3.61666666666667,3.295,-0.101333333333333,-2.74866666666667,0.15675,-2.5042,0.09075,1.631025,-0.0586666666666667,1.79025,"KANOFF_CREEK"
1918,-2.44666666666667,-2.715,-3.45333333333333,-3.42,-1.55666666666667,-0.89,1.80333333333333,2.15,8.44915555555555,-2.80718888888889,8.3676,-3.34683333333333,9.2853,-1.9135,9.3758,-1.60496666666667,"KANOFF_CREEK"
1919,2.96333333333333,2.6425,2.62333333333333,3.095,1.80333333333333,2.4375,3.48,3.05,7.77381111111111,6.2756,9.17151666666667,5.50016666666667,8.1785375,7.434375,6.93215833333333,8.4825,"KANOFF_CREEK"
1920,-2.27333333333333,-2.515,-3.37666666666667,-3.445,0.95,0.55,-0.106666666666667,0.165,7.67628888888889,-0.101333333333333,7.83163333333333,0.15675,8.664175,0.09075,8.49231666666667,-0.0586666666666667,"KANOFF_CREEK"
1921,1.56333333333333,1.87,1.81,1.32,-2.44666666666667,-2.715,-3.45333333333333,-3.42,2.82963333333333,8.44915555555555,2.0636,8.3676,2.4684,9.2853,3.3847,9.3758,"KANOFF_CREEK"
1922,-1.67666666666667,-1.6325,-0.926666666666667,-0.64,2.96333333333333,2.6425,2.62333333333333,3.095,1.55371111111111,7.77381111111111,1.07306666666667,9.17151666666667,1.0448,8.1785375,1.51278333333333,6.93215833333333,"KANOFF_CREEK"
1923,1.41333333333333,1.57,0.283333333333333,-0.595,-2.27333333333333,-2.515,-3.37666666666667,-3.445,0.400444444444444,7.67628888888889,-0.840933333333333,7.83163333333333,-0.93415,8.664175,0.444833333333333,8.49231666666667,"KANOFF_CREEK"
1924,-0.9,-1.325,-3.02666666666667,-3.24,1.56333333333333,1.87,1.81,1.32,2.724,2.82963333333333,2.916,2.0636,4.293,2.4684,4.01033333333333,3.3847,"KANOFF_CREEK"
1925,-2.11333333333333,-2.1875,-1.5,-1.045,-1.67666666666667,-1.6325,-0.926666666666667,-0.64,3.17,1.55371111111111,2.20843333333333,1.07306666666667,2.2859375,1.0448,3.28125,1.51278333333333,"KANOFF_CREEK"
1926,2.08333333333333,1.07,-1.68,-1.535,1.41333333333333,1.57,0.283333333333333,-0.595,-3.5,0.400444444444444,-3.19791666666667,-0.840933333333333,-1.64245,-0.93415,-1.7976,0.444833333333333,"KANOFF_CREEK"
1927,1.38,1.295,1.44,1.64,-0.9,-1.325,-3.02666666666667,-3.24,1.9872,2.724,2.2632,2.916,2.1238,4.293,1.8648,4.01033333333333,"KANOFF_CREEK"
1928,0.436666666666667,0.1,-1.05666666666667,-1.13,-2.11333333333333,-2.1875,-1.5,-1.045,-0.461411111111111,3.17,-0.493433333333333,2.20843333333333,-0.113,2.2859375,-0.105666666666667,3.28125,"KANOFF_CREEK"
1929,-1.57666666666667,-1.695,-2.47333333333333,-2.685,2.08333333333333,1.07,-1.68,-1.535,3.89962222222222,-3.5,4.23335,-3.19791666666667,4.551075,-1.64245,4.1923,-1.7976,"KANOFF_CREEK"
1930,-2.44666666666667,-2.4475,-2.46666666666667,-2.475,1.38,1.295,1.44,1.64,6.03511111111111,1.9872,6.0555,2.2632,6.0575625,2.1238,6.03716666666667,1.8648,"KANOFF_CREEK"
