Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,1.70,0.99,0.68,-0.68,0.30,0.75,0.55,-0.09,0.54,-0.10,-0.81,-1.45
1896,1.23,-0.93,-1.34,1.71,1.94,2.08,1.83,2.46,2.26,2.16,3.07,2.91
1897,2.14,2.59,3.15,2.17,1.32,0.67,-1.73,-1.66,-1.60,-0.60,-0.75,-1.37
1898,-2.08,-2.04,-2.68,-3.15,-1.97,-1.44,-1.15,-1.07,1.48,1.35,0.59,-1.24
1899,-1.47,-2.26,1.84,1.22,1.39,1.59,1.51,1.34,1.16,2.88,4.05,3.75
1900,3.25,2.02,1.38,1.31,1.48,1.53,1.26,1.02,0.67,1.11,1.84,1.17
1901,1.30,1.57,-0.87,0.40,0.75,0.99,0.94,0.81,1.47,1.16,1.09,-0.76
1902,-1.67,1.70,1.67,1.75,2.06,2.30,1.98,1.66,1.14,1.71,1.90,1.41
1903,1.38,0.65,1.93,1.43,0.80,-1.31,-1.46,-1.43,-1.60,-1.92,1.20,-0.61
1904,-1.41,1.61,3.38,3.17,2.58,2.02,1.60,1.58,4.44,5.43,4.70,3.65
1905,3.44,2.92,3.07,2.49,3.62,3.80,4.15,3.70,3.03,2.01,1.42,0.60
1906,0.79,0.83,2.33,1.71,3.06,4.04,4.72,4.14,3.55,2.43,1.82,2.20
1907,2.33,1.92,4.80,3.65,2.69,2.70,2.38,2.05,1.71,1.70,-1.58,-1.64
1908,-1.49,-1.42,-2.02,-2.48,-2.27,-2.34,-2.19,-2.07,-2.03,-1.94,-2.06,-2.50
1909,2.61,3.58,3.36,2.16,1.22,-1.93,-2.00,-1.91,-1.25,-0.98,-0.87,1.22
1910,0.98,-0.55,0.10,-1.05,-1.63,-2.14,-2.18,-2.05,-1.99,-2.12,-2.63,-3.04
1911,-0.66,-0.77,2.18,2.04,1.84,1.75,1.63,1.39,0.96,-0.38,-1.39,-1.91
1912,-2.43,-3.11,-2.83,-2.34,-1.23,2.09,2.43,2.13,3.46,2.85,2.60,1.58
1913,1.27,-1.81,-2.29,-2.49,-2.27,-2.37,-2.16,-2.10,-2.25,-2.84,-1.46,2.42
1914,4.22,3.86,2.57,1.96,1.44,1.25,1.04,0.83,-1.33,-1.25,-1.99,-1.53
1915,-0.63,2.38,1.62,1.04,3.98,4.22,4.55,3.95,3.22,2.13,1.23,1.37
1916,3.89,3.18,2.11,1.03,-2.30,-2.68,-2.32,-0.67,1.63,1.40,0.87,0.86
1917,-0.67,0.54,-0.25,-0.52,-0.63,-0.77,-0.92,-0.94,-1.01,-1.73,-2.43,-2.87
1918,-3.25,-3.19,-2.78,-3.02,-3.23,-3.45,-3.40,-3.18,3.60,3.18,3.33,2.50
1919,1.73,3.28,2.92,1.88,0.97,-1.95,-2.03,-1.93,-1.45,-1.74,-2.57,-2.69
1920,-3.36,-3.92,-3.12,-2.41,-2.50,-2.08,-1.90,-1.52,-1.48,-0.58,1.45,2.33
1921,2.92,1.81,0.96,-1.73,-1.47,-1.46,-1.53,-1.48,-1.42,-1.73,-2.02,-1.37
1922,-1.62,-0.82,-0.78,-0.99,-0.76,-0.68,-0.72,-0.76,-1.03,0.60,1.00,2.50
1923,1.94,0.79,-2.15,-0.82,-0.99,-0.65,1.03,0.89,1.36,0.74,-1.52,-2.04
1924,-2.68,-3.09,-3.42,-3.75,-4.07,-4.34,-4.16,-3.81,-3.72,-2.26,-2.06,-1.58
1925,-2.28,-0.71,-1.19,-0.66,3.15,3.60,4.06,3.62,3.61,2.60,1.97,1.07
1926,-1.82,-0.94,-1.90,-0.60,-0.73,-0.81,-0.85,-0.72,-0.93,0.54,2.47,1.48
1927,1.14,2.04,1.32,1.62,1.30,1.45,1.37,1.18,0.76,0.67,0.88,0.58
1928,-0.61,-1.33,-0.63,-0.64,-0.79,-0.99,-1.07,-1.05,-1.24,-1.77,-1.37,-1.20
1929,-1.97,-2.39,-2.87,-2.58,-2.66,-1.37,-0.88,-0.90,-1.11,-1.78,-2.81,-2.81
1930,-2.42,-2.50,-2.44,-2.49,-2.44,-2.51,-2.42,-2.26,-1.98,-2.14,-2.27,-2.89
1931,-3.11,-3.72,-4.11,-4.43,-4.12,-3.69,-3.47,-3.25,-3.23,-2.92,-2.63,2.14
1932,1.54,1.11,-1.44,-1.78,-1.71,-1.94,-1.94,-1.85,-1.99,-2.56,-3.29,-3.55
1933,-2.71,-3.32,-3.13,-3.50,-2.66,-2.37,-2.09,-1.96,-1.90,-1.39,-2.40,-1.89
1934,-2.59,-2.21,-3.09,-3.72,-4.02,-3.71,-3.59,-3.35,-2.97,-2.87,-2.03,-2.08
1935,-1.38,-2.18,-1.30,2.23,1.71,1.34,0.92,1.08,0.75,0.69,-1.08,-1.61
1936,-1.40,1.67,0.67,-0.09,-0.82,-0.75,-0.56,-0.61,-0.90,-1.39,-2.32,-2.62
