Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,1.64,0.89,-0.30,-0.76,0.35,-0.12,-0.03,-0.09,0.15,-0.78,-0.88,-1.66
1896,1.50,-0.83,-1.28,1.78,2.13,2.05,1.78,2.61,2.43,2.38,3.36,2.97
1897,2.17,2.69,3.29,2.33,1.27,0.94,0.79,0.62,-1.30,0.86,-0.25,-1.14
1898,-1.96,-2.21,-2.73,-3.28,-2.30,-2.03,-1.87,-1.77,-0.86,-0.72,-1.29,-1.76
1899,-1.90,-2.56,2.03,1.45,1.53,1.59,1.38,1.15,0.86,2.61,3.83,3.34
1900,2.79,1.57,0.79,0.75,0.97,0.68,0.56,-1.03,-1.18,-0.71,1.50,0.57
1901,0.76,1.12,-0.78,0.36,0.85,0.82,0.69,-0.08,0.69,-0.08,-0.00,-0.89
1902,-1.78,1.71,1.65,1.62,2.08,2.09,1.82,1.54,1.04,1.52,1.48,0.92
1903,0.78,-1.06,1.48,1.14,-0.52,-1.08,-1.01,-1.00,-1.20,-1.64,1.10,-0.89
1904,-1.83,1.65,3.59,3.37,2.92,2.14,1.87,1.87,4.99,5.83,5.03,3.80
1905,3.48,3.02,3.06,2.60,3.81,4.47,3.99,3.49,2.84,1.86,1.38,0.56
1906,0.78,0.71,2.31,1.79,2.83,3.79,3.35,2.92,2.45,1.46,1.05,1.78
1907,1.91,1.59,4.75,3.63,2.55,2.89,2.54,2.20,1.84,1.96,0.65,-1.39
1908,-1.30,-1.29,-1.87,-2.32,-2.26,-2.33,-2.14,-2.00,-1.95,-1.92,-1.96,-2.61
1909,3.06,4.14,3.90,2.70,1.66,1.10,0.94,0.76,1.19,1.17,1.04,1.94
1910,1.62,0.77,0.77,-1.14,-1.83,-2.03,-1.86,-1.75,-1.68,-1.86,-2.39,-2.73
1911,2.56,2.11,2.75,2.49,2.37,2.00,1.75,1.48,1.05,0.59,-1.45,-2.06
1912,-2.46,-3.05,-2.89,-2.40,-1.11,2.16,1.89,1.60,2.87,2.28,1.99,0.95
1913,0.67,-1.91,-2.32,-2.58,-2.58,-2.72,-2.14,-2.03,-2.19,-2.77,-1.32,2.13
1914,4.15,3.80,2.62,1.86,1.17,1.09,0.93,0.75,-1.37,-1.32,-2.05,-1.33
1915,1.14,2.67,1.73,1.24,3.75,4.67,4.17,3.64,2.95,1.90,1.08,1.46
1916,4.40,3.55,2.48,1.34,-2.51,-2.65,-1.88,1.58,1.79,1.65,1.16,1.17
1917,-0.79,0.50,-1.03,-1.26,-1.34,-1.58,-1.47,-1.40,-1.44,-2.11,-2.81,-3.01
1918,-3.29,-3.12,-2.75,-2.92,-3.16,-3.31,-3.02,-2.81,3.93,3.66,3.65,2.67
1919,1.67,3.50,3.05,2.03,0.99,-1.80,-1.66,-1.58,-1.15,-1.50,-2.35,-2.49
1920,-3.16,-3.64,-2.96,-2.38,-2.20,-1.92,-1.77,-1.68,-1.65,-0.75,0.14,1.79
1921,2.41,1.22,-1.54,-1.82,-1.55,-1.64,-1.52,-1.45,-1.39,-1.70,-1.93,-1.04
1922,-1.38,0.76,-0.09,-0.24,0.07,-0.19,-0.05,-0.09,-0.72,0.68,1.08,2.76
1923,2.11,0.94,-2.13,-0.96,-0.87,-0.60,-0.58,-0.56,1.15,0.56,-1.53,-1.98
1924,-2.70,-3.14,-3.49,-3.77,-4.23,-4.21,-3.82,-3.47,-3.42,-2.09,-1.99,-1.43
1925,-2.29,-0.60,-1.17,-0.57,3.22,4.30,4.00,3.50,3.45,2.48,1.98,1.22
