Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,1.53,0.78,-0.18,-0.79,0.28,0.56,-0.09,-0.07,0.08,-0.89,-1.18,-1.73
1896,1.15,-0.96,-1.24,1.70,1.96,2.11,1.97,2.49,2.34,2.19,3.09,2.98
1897,2.23,2.72,3.33,2.32,1.47,0.89,-1.70,-1.68,-1.67,-0.72,-0.76,-1.27
1898,-1.93,-1.83,-2.51,-3.01,-1.53,-0.80,1.83,1.74,2.12,1.81,1.12,-1.23
1899,-1.45,-2.25,1.70,1.10,1.36,1.55,1.50,1.39,1.05,2.80,4.33,4.04
1900,3.53,2.36,1.78,1.74,1.78,1.78,1.58,1.33,0.96,1.42,1.77,1.15
1901,1.29,1.56,-0.87,0.44,0.67,0.83,0.81,0.75,1.22,0.85,0.89,-0.81
1902,-1.57,1.93,1.95,2.20,2.54,2.69,2.56,2.25,1.72,2.69,3.32,2.89
1903,2.71,1.86,3.13,2.43,1.66,0.89,-1.56,-1.55,-1.67,-1.87,1.54,0.83
1904,-1.37,1.65,3.83,3.57,2.84,2.28,1.80,1.57,4.86,6.04,5.40,4.64
1905,4.32,3.68,3.78,3.13,4.11,4.14,4.50,4.21,3.57,2.49,1.82,0.94
1906,1.26,1.39,3.02,2.32,4.60,5.57,6.45,5.98,5.26,3.95,3.12,3.38
1907,3.37,2.85,5.83,4.73,3.80,3.96,3.62,3.23,2.79,2.62,1.25,0.92
1908,0.86,0.79,-1.63,-2.14,-1.89,-1.84,-1.67,-1.56,-1.55,-1.45,-1.57,-2.08
1909,2.58,3.65,3.42,2.24,1.35,0.67,-1.91,-1.84,-0.90,0.27,-0.08,1.49
1910,1.21,0.70,0.76,-0.59,-1.40,-1.81,-1.89,-1.80,-1.62,-1.77,-2.24,-2.71
1911,1.91,1.59,1.97,2.13,2.10,2.11,2.17,1.98,1.57,0.96,-1.32,-1.85
1912,-2.41,-3.12,-2.66,-2.19,-1.19,2.00,2.46,2.41,3.84,3.23,3.17,2.00
1913,1.94,0.79,-1.99,-2.17,-1.88,-1.88,-1.65,-1.62,-1.79,-2.43,-1.00,2.75
1914,4.55,4.22,2.90,2.36,1.93,1.68,1.45,1.25,1.01,1.04,-1.56,-1.25
1915,0.87,2.49,1.84,1.22,4.59,4.61,4.87,4.47,3.77,2.74,1.73,1.73
1916,4.26,3.63,2.59,1.52,0.79,-2.26,-2.12,-1.35,-0.68,-0.73,-1.05,-0.73
1917,-1.31,-0.60,-1.29,-1.37,-1.47,-1.49,-1.49,-1.47,-1.51,-2.18,-2.75,-3.16
1918,-3.61,-3.40,-3.00,-3.21,-3.42,-3.62,-3.57,-3.36,3.53,2.99,3.33,2.57
1919,1.86,3.37,3.05,2.00,1.08,-1.87,-1.98,-1.90,-1.47,-1.73,-2.52,-2.52
1920,-3.22,-3.81,-3.11,-2.12,-2.26,-1.81,-1.59,-1.42,-1.39,1.08,1.93,2.80
1921,3.31,2.16,1.27,0.67,0.62,-1.54,-1.59,-1.53,-1.45,-1.74,-2.08,-1.61
1922,-1.69,-0.91,-0.70,-0.88,-0.65,0.09,-0.02,-0.09,-0.30,0.71,0.92,2.21
1923,1.62,-1.28,-2.25,-1.18,-1.35,-1.00,-0.69,-0.57,1.04,-0.52,-1.55,-2.09
1924,-2.70,-3.10,-3.48,-3.82,-4.16,-4.41,-4.28,-3.94,-3.81,-2.11,-1.83,-1.03
1925,-1.79,2.04,1.39,1.59,3.70,3.94,4.30,4.01,3.95,2.92,2.23,1.26
1926,0.72,1.32,-1.95,1.38,0.98,0.68,-0.12,-0.01,-0.66,0.54,2.98,1.96
1927,1.69,2.60,1.85,2.29,1.87,1.95,1.85,1.68,1.26,1.21,1.51,1.27
1928,0.57,-1.13,0.70,-0.04,-0.26,-0.50,-0.62,-0.62,-0.81,-1.38,-0.99,-0.77
1929,-1.57,-2.00,-2.48,-2.19,-2.34,-1.02,-0.55,1.22,0.85,-1.02,-2.16,-2.09
1930,-1.84,-1.95,-1.90,-1.97,-1.99,-2.08,-2.02,-1.89,-1.70,-1.89,-2.07,-2.64
1931,-2.88,-3.53,-3.91,-4.23,-3.89,-3.47,-3.29,-3.08,-3.04,-2.62,-2.47,1.95
1932,1.35,0.83,-1.54,-1.79,-1.38,-1.45,-1.42,-1.35,-1.49,-2.12,-2.85,-3.16
1933,-2.46,-3.11,-2.85,-3.26,-2.42,-2.18,-1.88,-1.71,-1.69,-0.82,-1.86,-1.48
1934,-2.24,-1.90,-2.79,-3.42,-3.61,-3.35,-3.32,-3.13,-2.87,-2.70,-1.87,-1.90
1935,-1.22,-1.96,-1.16,2.20,1.63,1.26,0.91,1.01,0.70,0.62,-1.06,-1.59
1936,-1.43,1.59,0.59,-0.07,-0.84,-0.60,-0.57,-0.60,-0.83,-1.33,-2.33,-2.68
1937,-2.27,-1.27,2.09,1.74,1.20,1.64,1.58,1.41,1.01,0.72,1.08,1.69
1938,1.26,2.88,4.18,3.92,3.29,2.88,2.60,2.31,1.94,1.83,1.13,-1.34
1939,-2.03,-2.54,-2.58,-2.97,-2.65,-2.68,-2.55,-2.38,-2.03,-2.28,-3.14,-3.53
1940,-2.19,2.50,3.01,2.42,2.35,2.12,1.86,1.56,1.40,1.31,0.83,1.85
1941,2.51,3.27,3.27,5.07,5.28,5.30,5.13,4.56,3.83,3.36,2.80,3.37
1942,3.24,3.32,2.74,4.11,4.66,4.66,4.85,4.45,3.87,3.33,3.78,3.54
1943,4.04,2.93,2.81,2.61,1.93,1.65,1.47,1.26,0.83,-1.03,-1.62,-2.12
1944,-2.50,-1.78,-2.37,-1.75,-1.24,-0.60,1.36,1.36,0.98,1.04,2.16,1.82
1945,0.73,0.78,1.13,-0.64,0.26,-0.63,-0.78,-0.84,-1.04,0.56,0.87,2.58
1946,1.55,0.83,-1.56,-2.00,-1.93,-2.05,-1.95,-1.87,-1.93,-2.34,-1.93,-2.30
1947,-2.93,-3.26,-2.81,-3.17,-3.28,-2.71,-2.60,-2.47,-2.51,-0.85,-1.16,-1.83
1948,-2.53,-3.03,-2.56,-0.94,-0.59,1.78,1.68,1.49,1.16,-0.50,-1.18,-1.25
1949,-1.73,-1.71,-0.74,-1.45,-1.61,-1.92,-1.91,-1.69,-1.81,-2.25,-2.57,-2.96
1950,-1.95,-2.05,-2.09,-2.05,-1.86,-1.68,-1.45,-1.35,-1.49,-0.58,2.38,3.24
1951,3.06,2.33,1.71,1.30,1.27,1.07,0.99,1.25,0.92,0.97,1.11,2.35
1952,3.54,2.79,3.19,2.56,2.10,2.14,2.02,1.82,1.42,0.60,-0.15,1.67
1953,1.56,-0.99,-1.42,0.74,0.86,1.30,1.48,1.73,1.33,0.82,0.64,-1.36
1954,-1.75,-2.00,-1.25,-0.90,-1.09,-0.78,-0.56,1.01,0.68,-0.64,0.07,0.14
1955,0.01,-1.20,-2.03,-1.37,-1.43,-1.32,-1.13,-0.96,-0.93,-1.46,-1.38,3.37
1956,4.27,3.65,2.31,2.08,1.96,1.58,1.33,1.14,0.99,1.49,-1.11,-1.93
1957,-2.51,-2.45,-2.06,-1.86,2.46,2.79,3.02,2.78,3.23,4.15,3.29,2.50
1958,2.62,4.15,4.94,6.86,6.07,5.66,4.97,4.35,3.62,2.54,1.19,-2.62
1959,-3.01,-2.34,-3.04,-3.57,-4.17,-4.61,-4.64,-4.38,-1.60,-2.28,-3.30,-3.68
1960,-3.82,-3.35,-3.44,-3.30,-2.69,-2.41,-2.40,-2.29,-2.32,-2.61,-2.13,-2.47
1961,-2.73,-3.11,-2.73,-2.70,-2.44,-2.35,-2.38,-2.25,-2.07,-2.45,-2.16,-2.42
1962,-2.92,-1.47,-1.27,-1.71,-2.16,-2.53,-2.56,-2.31,-2.00,4.27,3.41,2.84
1963,2.16,2.03,2.16,3.91,3.49,3.13,2.75,2.37,1.97,2.08,2.54,1.44
1964,1.23,-1.70,-2.20,-2.65,-2.72,-2.07,-1.85,-1.73,-1.84,-1.47,-0.84,1.91
1965,1.85,0.73,-1.49,1.66,1.13,0.93,0.85,1.53,1.12,-0.77,0.81,0.85
1966,0.79,-0.25,-1.10,-1.65,-2.19,-2.66,-2.70,-2.45,-2.38,-2.97,-1.53,-1.04
1967,2.92,1.66,2.06,4.38,3.63,4.42,4.53,4.14,3.44,2.57,1.61,0.82
1968,0.80,-1.76,-1.66,-2.09,-2.21,-2.46,-2.51,-2.09,-2.19,-1.99,-1.74,-0.83
1969,1.84,2.63,1.83,2.00,1.40,1.15,0.94,0.75,-0.28,0.60,-0.79,0.79
1970,2.31,1.24,-1.36,-1.83,-2.24,-2.20,-2.22,-2.12,-2.22,-1.94,1.70,3.07
1971,2.03,0.86,0.68,-1.54,-1.54,-1.54,-1.51,-1.45,-1.42,-1.85,-1.86,-1.55
