Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,1.46,0.67,-0.14,-0.90,0.28,0.00,-0.54,-0.58,0.16,-0.65,-1.03,-1.62
1896,1.09,-0.95,-1.17,1.69,2.00,2.04,2.00,2.43,2.25,2.01,2.84,2.77
1897,2.03,2.50,3.13,2.13,1.29,0.71,-1.78,-1.80,-1.77,-0.95,-0.93,-1.24
1898,-1.83,-1.70,-2.41,-2.91,-1.20,2.04,2.56,2.56,2.75,2.27,1.59,0.70
1899,-1.32,-2.02,1.45,0.86,1.13,1.28,1.25,1.16,1.02,2.66,4.33,4.07
1900,3.56,2.51,2.01,1.98,1.88,1.77,1.54,1.27,0.89,1.44,1.54,1.04
1901,1.13,1.33,-0.87,0.45,0.55,0.58,0.01,-0.01,0.64,-0.31,0.13,-0.87
1902,-1.38,2.63,2.67,3.04,3.34,3.29,3.22,2.89,2.28,3.48,4.22,3.67
1903,3.45,2.55,3.80,2.91,2.01,1.13,0.62,-1.85,-1.99,-2.07,1.71,0.99
1904,-1.31,1.62,4.45,4.09,3.18,2.46,1.91,1.56,4.66,6.05,5.51,4.75
1905,4.38,3.68,3.80,3.10,3.90,3.80,4.06,3.83,3.27,2.18,1.53,0.65
1906,1.19,1.37,2.91,2.17,4.79,5.82,6.68,6.32,5.59,4.22,3.32,3.44
1907,3.43,2.83,5.80,4.85,4.02,4.32,4.08,3.70,3.21,2.93,1.57,1.29
1908,1.16,1.08,-1.55,-2.07,-1.71,-1.59,-1.37,-1.27,-1.31,-1.23,-1.35,-1.79
1909,2.75,3.72,3.47,2.26,1.35,0.61,-2.04,-2.01,-0.97,1.14,0.89,1.60
1910,1.30,0.82,0.87,-0.59,-1.38,-1.81,-1.93,-1.86,-1.64,-1.80,-2.25,-2.72
1911,-0.83,-0.88,1.52,1.95,2.07,2.08,2.15,1.98,1.56,0.84,-1.35,-1.88
1912,-2.32,-3.03,-2.40,-1.98,-1.07,1.97,2.45,2.45,4.31,3.71,3.68,2.65
1913,2.66,1.43,0.73,-1.90,-1.62,-1.68,-1.54,-1.58,-1.80,-2.48,-1.11,2.83
1914,4.40,4.08,2.78,2.33,1.99,1.68,1.44,1.24,1.01,1.27,-1.30,-1.16
1915,0.93,2.52,2.05,1.33,5.17,4.95,5.00,4.58,3.86,2.84,1.81,1.80
1916,4.01,3.44,2.50,1.42,0.69,-2.13,-2.06,-1.27,-0.62,-0.79,-1.12,-0.80
1917,-1.33,-0.57,-1.29,-1.30,-1.48,-1.50,-1.51,-1.52,-1.56,-2.27,-2.73,-3.12
1918,-3.57,-3.35,-3.07,-3.30,-3.56,-3.83,-3.82,-3.65,3.13,2.59,3.09,2.36
1919,1.79,3.29,3.07,1.99,1.05,-1.97,-2.13,-2.09,-1.65,-1.90,-2.62,-2.46
1920,-3.13,-3.74,-3.14,-1.80,-2.05,-1.64,-1.46,-1.30,-1.27,1.15,2.35,3.09
1921,3.52,2.38,1.47,0.82,0.64,-1.76,-1.82,-1.79,-1.73,-2.00,-2.35,-2.08
1922,-1.95,-1.03,-0.60,-0.71,0.25,1.02,1.03,0.84,-0.31,0.73,0.70,1.69
1923,1.10,-1.33,-2.26,-1.52,-1.73,-1.35,-1.06,-0.90,0.47,-0.57,-1.54,-2.06
1924,-2.65,-2.89,-3.36,-3.73,-4.09,-4.39,-4.33,-4.04,-3.94,-1.83,-1.31,2.32
1925,1.28,2.53,1.94,1.92,3.97,4.00,4.24,3.94,4.03,2.96,2.27,1.28
1926,0.87,1.49,-1.79,1.58,1.10,0.71,-0.17,0.00,-0.82,0.59,3.55,2.58
1927,2.36,3.13,2.40,2.91,2.40,2.41,2.26,2.04,1.57,1.53,1.77,1.55
1928,0.93,-0.50,0.85,0.77,-0.32,-0.53,-0.65,-0.67,-0.88,-1.46,-1.11,-0.82
1929,-1.58,-1.94,-2.37,-2.01,-2.25,-0.89,1.42,1.34,0.95,-1.06,-2.14,-1.83
1930,-1.67,-1.79,-1.73,-1.85,-1.93,-2.04,-2.02,-1.91,-1.66,-1.87,-2.02,-2.59
1931,-2.63,-3.29,-3.62,-3.96,-3.67,-3.27,-3.09,-2.91,-2.91,-2.22,-2.14,1.99
1932,1.39,0.82,-1.57,-1.73,-0.87,-0.72,-0.62,-0.59,-0.82,-1.55,-2.31,-2.71
1933,-2.09,-2.75,-2.41,-2.92,-2.02,-1.84,-1.56,-1.43,-1.50,1.39,-0.92,0.55
1934,-0.35,-0.18,-1.19,-1.94,-2.14,-1.98,-2.08,-2.05,-1.93,-1.78,-1.05,-1.24
1935,-0.68,-1.39,-0.69,2.35,1.68,1.21,0.81,0.84,-0.27,-0.87,-1.31,-1.85
1936,-1.49,1.63,0.60,0.00,-0.74,0.56,1.03,0.87,-0.32,-1.01,-2.03,-2.45
1937,-2.12,-1.12,1.82,1.44,0.91,1.84,1.95,1.79,1.34,1.02,1.56,2.25
1938,1.85,3.30,4.78,4.61,3.77,3.16,2.75,2.38,1.98,1.77,1.12,-1.65
1939,-2.21,-2.63,-2.75,-3.20,-2.86,-2.93,-2.86,-2.71,-2.42,-2.70,-3.47,-3.79
1940,-2.25,2.69,3.29,2.72,2.90,2.85,2.67,2.32,2.06,2.00,1.53,2.25
1941,2.81,3.69,3.60,5.48,5.58,5.64,5.70,5.18,4.44,3.91,3.38,3.81
1942,3.45,3.71,3.11,4.49,5.05,4.84,4.95,4.52,3.95,3.35,3.92,3.83
1943,4.31,3.23,3.37,3.11,2.35,2.02,1.81,1.54,1.03,0.75,-1.37,-1.91
1944,-2.14,-1.62,-2.29,-1.61,-1.04,1.23,1.58,1.59,1.16,1.45,2.32,1.89
1945,0.90,0.79,1.06,-1.08,0.43,-0.13,-0.19,-0.17,-0.73,0.55,0.99,2.75
1946,1.83,1.10,0.65,-1.76,-1.72,-1.86,-1.80,-1.77,-1.85,-2.27,-2.17,-2.57
1947,-3.01,-3.35,-2.93,-3.25,-3.41,-2.71,-2.60,-2.48,-2.57,-1.03,-1.36,-2.03
1948,-2.59,-2.77,-2.49,-0.85,-0.66,1.43,1.34,1.25,1.01,-0.54,-1.00,-0.80
1949,-1.26,-1.21,0.77,-0.80,-1.10,-1.56,-1.67,-1.49,-1.68,-2.19,-2.55,-2.96
1950,-1.85,-1.89,-1.85,-1.99,-1.90,-1.84,-1.69,-1.61,-1.77,-0.86,2.27,3.06
1951,3.12,2.53,1.96,1.47,1.39,1.14,1.02,1.27,0.90,0.99,1.06,2.09
1952,3.03,2.42,2.64,1.97,1.56,1.60,1.49,1.31,1.00,-1.05,-1.26,1.49
1953,1.58,-0.97,-1.34,0.86,0.95,1.49,1.73,2.05,1.61,1.12,0.82,-1.40
1954,-1.64,-1.90,-1.18,-0.56,-0.84,0.29,0.85,1.55,1.20,-0.60,-0.68,-0.60
1955,-0.60,-1.40,-2.19,-1.35,-1.56,-1.59,-1.48,-1.33,-1.20,-1.70,-1.55,3.18
1956,4.18,3.52,2.21,1.94,1.85,1.51,1.28,1.09,0.85,1.32,-1.01,-1.75
1957,-2.36,-2.24,-1.77,-1.64,2.48,2.61,2.70,2.47,2.98,4.26,3.55,3.01
1958,2.97,4.35,4.65,6.13,5.29,4.82,4.17,3.60,2.88,1.82,0.61,-2.73
1959,-3.12,-2.50,-3.13,-3.59,-4.08,-4.56,-4.66,-4.46,-2.26,-2.94,-3.84,-4.14
1960,-4.28,-3.88,-3.97,-3.88,-3.28,-3.05,-3.02,-2.87,-2.88,-3.13,-2.89,-3.26
1961,-3.41,-3.50,-3.17,-3.19,-2.99,-2.97,-2.98,-2.86,-2.72,-2.99,-2.75,-3.03
1962,-3.46,-2.35,-2.06,-2.43,-2.79,-3.11,-3.12,-2.79,-1.97,4.31,3.42,2.92
1963,2.14,1.95,1.98,3.87,3.38,2.95,2.58,2.22,1.82,1.95,2.36,1.35
1964,1.08,-1.70,-2.30,-2.72,-2.75,-1.91,-1.61,-1.47,-1.61,-1.12,-0.73,1.70
1965,1.58,0.56,-1.42,1.81,1.19,0.88,0.76,1.30,0.90,-0.73,0.53,0.43
1966,0.42,0.22,-0.84,-1.39,-1.84,-2.24,-2.39,-2.29,-2.22,-2.85,-1.52,-1.15
1967,2.64,1.41,1.81,4.08,3.28,4.54,4.83,4.54,3.83,2.87,1.88,1.03
1968,0.87,0.68,-1.66,-2.16,-2.26,-2.54,-2.63,-2.07,-2.16,-1.82,-1.61,-0.57
1969,1.76,2.34,1.62,1.74,1.12,0.78,-0.17,-0.88,-1.09,0.65,-0.69,1.05
1970,2.67,1.60,0.86,-1.80,-2.21,-2.15,-2.20,-2.13,-2.26,-1.84,1.32,2.41
1971,1.49,-1.56,-1.40,-1.41,-1.41,-1.38,-1.34,-1.31,-1.32,-1.77,-1.72,-1.33
1972,-1.66,-1.99,-2.73,-2.49,-2.80,-2.69,-2.63,-2.41,-1.60,2.22,3.80,3.53
1973,4.49,4.49,3.99,2.80,1.87,0.85,-2.35,-2.34,-0.80,1.96,5.53,5.58
1974,4.91,3.88,4.46,4.84,3.91,3.34,3.80,3.41,2.77,2.24,1.42,0.61
1975,-2.21,-1.01,2.24,2.25,1.60,1.22,1.14,1.05,0.65,1.89,1.41,-1.13
1976,-1.87,-2.54,-2.86,-2.53,-2.77,-2.74,-2.76,-1.39,-1.10,-1.55,-2.02,-2.51
1977,-3.03,-3.57,-3.89,-4.21,-3.69,-3.61,-3.46,-3.17,-1.93,-2.29,-1.87,-1.58
1978,-0.65,1.18,1.29,2.24,1.49,0.87,-1.17,-1.26,-1.03,-1.79,-1.93,-2.51
1979,-2.20,-1.75,-1.97,-2.08,-2.00,-2.19,-2.23,-2.21,-2.36,-1.24,-0.78,1.47
1980,1.51,1.98,1.07,1.00,0.63,-0.04,0.04,-0.68,-0.94,-1.57,-2.35,-2.77
1981,-2.61,-3.13,-2.05,-2.59,-2.86,-3.40,-3.54,-3.40,-2.98,-1.91,2.07,2.80
1982,3.31,3.26,4.11,5.28,4.27,3.64,3.18,2.76,2.74,3.72,5.29,4.62
1983,4.48,5.21,8.13,8.03,7.06,6.21,5.50,5.33,4.66,3.75,5.33,6.19
1984,4.64,3.43,2.34,1.91,1.37,1.41,1.23,1.17,0.72,1.49,3.79,2.87
1985,1.66,0.93,1.09,-1.99,-2.50,-2.93,-3.12,-3.07,-2.49,-2.48,-1.33,-1.44
1986,-1.16,2.40,3.18,2.41,1.73,0.91,-1.66,-1.73,1.17,-0.72,-1.81,-2.31
1987,-2.81,-2.43,-2.22,-2.82,-3.39,-3.84,-3.94,-3.81,-3.78,-3.69,-3.54,-2.56
1988,-2.33,-3.04,-3.86,-3.76,-3.62,-3.72,-3.78,-3.60,-3.57,-3.72,-2.74,-2.26
1989,-2.70,-3.23,-1.37,-1.79,-2.22,-2.59,-2.78,-2.66,-1.69,-1.37,-1.74,-2.41
1990,-2.96,-3.17,-3.68,-3.97,-2.10,-1.62,-1.12,-1.07,-1.26,-1.96,-2.64,-3.05
1991,-3.48,-3.89,-1.36,-1.63,-1.69,-1.58,-1.44,-0.87,-1.06,1.08,-0.85,-1.42
1992,-2.15,-1.44,-1.23,-1.62,-2.24,-2.21,-2.40,-2.35,-2.45,-1.81,-2.58,-2.38
1993,-0.78,1.38,0.59,-0.27,0.21,0.92,0.90,0.75,-0.31,-0.87,-0.90,-1.47
1994,-1.88,-1.59,-2.44,-2.49,-2.09,-2.17,-2.12,-2.05,-2.14,-2.58,2.40,1.98
1995,3.36,2.06,3.77,3.48,3.90,4.37,4.82,4.30,3.53,2.25,0.87,1.65
1996,1.87,2.42,1.75,2.19,3.45,3.44,3.58,3.29,2.90,2.48,2.13,2.93
1997,3.19,1.90,0.68,-2.55,-3.45,-3.94,-4.17,-3.01,-2.97,-2.83,-1.11,-1.39
1998,2.23,4.67,3.67,3.64,5.12,4.98,5.05,4.57,3.86,3.12,3.00,2.07
1999,1.56,2.64,2.24,2.16,1.62,1.38,1.18,1.18,0.88,-0.48,-0.92,-1.65
2000,-1.69,1.39,0.82,0.79,1.36,1.63,1.62,1.49,1.26,1.79,1.03,-1.26
2001,-1.72,-1.11,-1.81,-1.91,-2.39,-2.85,-3.03,-2.99,-2.93,-3.19,-1.76,2.80
2002,2.05,1.41,1.01,-1.53,-1.52,-1.75,-1.84,-1.83,-2.00,-2.60,-2.64,3.01
2003,2.79,1.87,0.87,1.47,1.57,1.52,1.24,0.97,-0.37,-1.50,-1.92,-0.84
2004,-1.19,-0.71,-1.59,-2.10,-2.73,-3.34,-3.55,-3.47,-3.07,-2.13,-2.27,-1.18
2005,-0.95,-1.00,1.35,1.45,2.19,3.17,4.00,3.77,3.17,2.41,1.64,3.15
2006,3.06,2.40,3.59,5.92,5.05,4.28,3.53,2.93,2.30,1.66,1.53,1.39
2007,-1.91,-1.56,-2.37,-2.34,-2.28,-2.52,-2.58,-2.52,-2.51,-1.55,-2.04,-2.46
2008,-1.34,-1.43,-2.23,-2.79,-3.38,-3.93,-4.07,-3.88,-3.84,-3.93,-3.73,-4.12
2009,-4.60,-3.31,-3.21,-3.44,-2.60,-2.38,-2.26,-2.15,-2.01,1.72,0.91,-1.20
2010,0.62,-0.18,-0.14,1.64,1.87,1.94,1.89,1.76,1.43,2.42,2.02,2.73
2011,1.72,1.64,3.27,2.54,2.70,4.25,4.97,4.84,4.21,3.95,3.04,1.96
2012,0.95,-2.65,-0.93,-0.62,-0.96,-1.00,-0.98,-0.96,-1.13,-1.10,0.51,2.00
2013,0.86,-1.79,-2.54,-2.64,-3.09,-3.07,-3.11,-2.97,-2.39,-2.93,-3.24,-3.69
2014,-4.25,-3.67,-3.63,-2.72,-2.89,-3.00,-2.97,-2.93,-2.57,-3.02,-2.72,2.14
2015,1.00,-1.71,-2.66,-2.69,-3.27,-3.60,-3.73,-3.57,-3.37,-4.05,-4.25,-3.88
2016,-2.90,-3.55,-2.25,-2.42,-2.75,-3.20,-3.33,-3.21,-3.23,-1.52,-1.24,-0.71
2017,3.08,4.24,3.71,4.20,3.31,2.91,2.43,2.01,1.53,0.60,-1.70,-2.37
2018,-2.66,-3.35,-2.21,-0.56,-0.87,-1.04,-1.15,-1.21,-1.39,-1.71,-1.39,-2.02
2019,-1.59,2.88,3.09,2.32,3.34,3.30,3.20,2.84,2.28,1.17,-1.82,-1.21
2020,-1.57,-2.20,-2.59,-2.98,-3.33,-3.67,-3.72,-3.58,-3.31,5.33,4.96,5.76
2021,4.24,2.83,1.48,1.30,-3.01,-2.84,-2.83,-2.72,-2.42,-3.01,-3.30,-2.55
2022,-0.74,-0.98,3.14,2.28,2.14,1.70,1.40,1.17,0.90,-1.23,-1.49,-1.52
2023,-1.12,0.67,1.01,0.61,0.65,-0.18,-0.20,-0.55,-0.84,-1.64,1.33,2.13
2024,2.15,2.60,2.54,1.98,1.89,1.51,1.16,0.94,-0.35,-1.63,1.33,2.17
2025,1.04,1.85,1.17,-1.17,-1.16,-1.04,-0.93,-0.84,-0.75,-9999.00,-9999.00,-9999.00
2026,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
